"Info_organism_id","N"
"10029",5
"10036",18
"1004253",1
"10090",406
"10092",17
"10095",4
"10116",206
"10141",13
"10224",1
"1033975",2
"1055687",1
"106276",5
"1077284",18
"1108849",7
"1133968",3
"114742",1
"121224",1
"121759",3
"123734",1
"1237627",1
"126793",3
"129788",3
"13101",6
"1317064",1
"13415",4
"13451",18
"13677",1
"147272",3
"15368",1
"157914",3
"15957",14
"16719",2
"171929",25
"180454",6
"180498",6
"185431",1
"214697",15
"215358",3
"246437",2
"263815",3
"265619",1
"27990",3
"28909",13
"29159",24
"29170",1
"29176",3
"294381",6
"29679",4
"29760",1
"29780",2
"30215",1
"30522",1
"3055",1
"306901",1
"307685",1
"31273",10
"320667",1
"32201",25
"32278",1
"32630",1
"32644",1
"330879",23
"33127",25
"333668",18
"334426",1
"3346",6
"3352",4
"3369",13
"341663",3
"34610",1
"34631",1
"34632",1
"347515",36
"3505",31
"353152",1
"3559",1
"3562",4
"3567",1
"35670",3
"360549",1
"36087",11
"3617",33
"3625",1
"36329",665
"3645",6
"3656",10
"36596",4
"367110",6
"3677",3
"36936",5
"3702",14
"3707",4
"3708",2
"3711",1
"3750",6
"37546",1
"3755",18
"3758",4
"3760",10
"38020",2
"3816",28
"3818",148
"3847",357
"3864",1
"3885",10
"39584",2
"3972",28
"3981",32
"3988",27
"39947",13
"4045",1
"40697",3
"4081",4
"4097",6
"4113",1
"4146",16
"4182",4
"420245",33
"4212",8
"4215",2
"4232",3
"432359",11
"43335",1
"435258",49
"44271",2
"44386",1
"44689",1
"4513",1
"4522",27
"4530",2
"4545",1
"4550",13
"4565",169
"4577",6
"4606",1
"46245",1
"46835",4
"4754",2
"4784",1
"49011",1
"4932",1
"502780",1
"5064",1
"5076",5
"507601",2
"5077",7
"508771",33
"51022",8
"51031",12
"51240",33
"54390",17
"5501",1
"5503",11
"55194",2
"5551",4
"558553",22
"559292",4
"5599",5
"5659",4
"5661",16
"5664",2
"5665",1
"5667",4
"5671",41
"5679",3
"5693",1311
"5722",41
"57267",1
"57270",10
"5741",1
"5755",7
"5759",5
"5762",1
"580058",1
"580059",1
"5802",8
"5807",2
"5811",98
"5821",8
"58216",1
"58217",2
"58218",5
"5823",19
"5824",1
"5825",1
"5827",1
"5833",368
"5834",6
"5835",16
"5837",20
"5839",7
"5841",7
"5842",3
"5843",10
"5846",8
"5848",7
"5850",1
"5851",4
"5855",133
"5858",1
"5861",10
"5865",14
"5866",4
"5868",6
"5872",5
"5874",1
"60189",5
"6182",119
"6183",416
"6184",2
"6192",82
"6198",3
"6203",4
"6204",13
"6206",13
"6207",5
"6210",20
"6211",12
"62330",7
"6238",2
"6239",1
"6248",1
"6269",10
"6279",9
"6282",379
"6293",10
"6313",14
"6334",9
"6339",2
"63673",1
"64495",4
"6491",4
"6492",1
"6493",1
"6495",1
"660469",1
"6661",1
"6687",10
"6689",12
"6690",5
"6728",3
"6761",11
"6853",1
"6858",4
"6860",1
"6878",2
"6887",14
"69008",1
"6938",5
"6941",2
"6945",2
"6954",45
"6956",38
"6973",9
"6978",29
"7004",1
"70175",3
"7137",1
"7154",2
"7155",18
"7160",1
"7227",8
"7234",1
"72664",2
"73239",13
"7441",5
"74437",9
"7444",1
"7453",1
"7454",7
"7460",4
"746128",10
"74722",2
"76912",1
"7719",1
"7741",1
"7787",20
"7788",3
"79327",1
"7955",4
"7957",3
"7959",1
"7962",2
"79698",1
"79923",1
"8005",1
"8022",1
"8030",4
"8049",5
"8053",2
"81985",1
"8255",1
"8364",1
"85057",1
"85552",29
"8616",12
"8620",3
"8654",3
"8655",1
"8656",14
"8657",1
"8658",1
"8663",2
"8667",4
"8671",3
"8704",1
"8722",3
"8724",3
"8725",3
"8726",8
"8732",7
"8753",5
"88085",10
"88086",7
"88087",7
"89462",5
"9031",96
"9103",2
"92050",2
"929439",1
"9337",16
"935652",1
"943119",1
"9483",1
"9541",2
"9544",1
"9548",8
"95602",8
"9598",2
"9606",12083
"9615",19
"9685",17
"9755",2
"9796",8
"981087",2
"9823",44
"9860",4
"9874",1
"9913",309
"9925",9
"9940",12
"99586",6
"99806",1
"9986",21
NA,8
