"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Babesia_bigemina",5866,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Piroplasmida","Babesiidae","Babesia","Babesia_bigemina",FALSE,4,1,"Babesia bigemina(4 peptides)"
"s__Babesia_bovis",5865,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Piroplasmida","Babesiidae","Babesia","Babesia_bovis",FALSE,14,1,"Babesia bovis(14 peptides)"
"s__Babesia_microti",1133968,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Piroplasmida","Babesiidae","Babesia","Babesia_microti",FALSE,9,2,"Babesia microti(9 peptides)"
"s__Cryptosporidium_parvum",5807,"Eukaryota","Apicomplexa__P+","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","Cryptosporidium_parvum",FALSE,2,1,"Cryptosporidium parvum(2 peptides)"
"s__Eimeria_tenella",5802,"Eukaryota","Apicomplexa__P+","Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria","Eimeria_tenella",FALSE,8,1,"Eimeria tenella(8 peptides)"
"s__Neospora_caninum",29176,"Eukaryota","Apicomplexa__P+","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Neospora","Neospora_caninum",FALSE,3,1,"Neospora caninum(3 peptides)"
"s__Plasmodium_berghei",5821,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_berghei",FALSE,27,2,"Plasmodium berghei(27 peptides)"
"s__Plasmodium_brasilianum",5824,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_brasilianum",FALSE,1,1,"Plasmodium brasilianum(1 peptides)"
"s__Plasmodium_chabaudi",5825,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_chabaudi",FALSE,1,1,"Plasmodium chabaudi(1 peptides)"
"s__Plasmodium_cynomolgi",5827,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_cynomolgi",FALSE,1,1,"Plasmodium cynomolgi(1 peptides)"
"s__Plasmodium_falciparum",5834,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_falciparum",FALSE,1127,12,"Plasmodium falciparum(1127 peptides)"
"s__Plasmodium_knowlesi",5850,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_knowlesi",FALSE,5,2,"Plasmodium knowlesi(5 peptides)"
"s__Plasmodium_malariae",5858,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_malariae",FALSE,1,1,"Plasmodium malariae(1 peptides)"
"s__Plasmodium_vivax",5855,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_vivax",FALSE,146,3,"Plasmodium vivax(146 peptides)"
"s__Plasmodium_vivax_like_sp",27990,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_vivax_like_sp",FALSE,3,1,"Plasmodium vivax like sp(3 peptides)"
"s__Plasmodium_yoelii",5861,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium_yoelii",FALSE,23,2,"Plasmodium yoelii(23 peptides)"
"s__Theileria_annulata",5874,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae","Theileria","Theileria_annulata",FALSE,1,1,"Theileria annulata(1 peptides)"
"s__Theileria_equi",5872,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae","Theileria","Theileria_equi",FALSE,5,1,"Theileria equi(5 peptides)"
"s__Theileria_parva",333668,"Eukaryota","Apicomplexa__P+","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae","Theileria","Theileria_parva",FALSE,18,1,"Theileria parva(18 peptides)"
"s__Toxoplasma_gondii",508771,"Eukaryota","Apicomplexa__P+","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Toxoplasma","Toxoplasma_gondii",TRUE,142,3,"Toxoplasma gondii(142 peptides)"
