Input Scientific Name,Leaf Node in Tree
Babesia_microti_strain_RI,s__Babesia_microti
Neospora_caninum,s__Neospora_caninum
Plasmodium_yoelii,s__Plasmodium_yoelii
Plasmodium_falciparum_RO_33,s__Plasmodium_falciparum
Plasmodium_chabaudi,s__Plasmodium_chabaudi
Plasmodium_falciparum_Palo_Alto_Uganda,s__Plasmodium_falciparum
Babesia_bovis,s__Babesia_bovis
Plasmodium_cynomolgi,s__Plasmodium_cynomolgi
Plasmodium_falciparum_K1,s__Plasmodium_falciparum
Plasmodium_malariae,s__Plasmodium_malariae
Plasmodium_vivax,s__Plasmodium_vivax
Plasmodium_brasilianum,s__Plasmodium_brasilianum
Plasmodium_berghei,s__Plasmodium_berghei
Cryptosporidium_parvum,s__Cryptosporidium_parvum
Theileria_annulata,s__Theileria_annulata
Plasmodium_falciparum_NF54,s__Plasmodium_falciparum
Plasmodium_falciparum_CAMP_Malaysia,s__Plasmodium_falciparum
Plasmodium_falciparum_3D7,s__Plasmodium_falciparum
Babesia_bigemina,s__Babesia_bigemina
Plasmodium_vivax_like_sp,s__Plasmodium_vivax_like_sp
Toxoplasma_gondii_ME49,s__Toxoplasma_gondii
Plasmodium_falciparum_Mad20_Papua_New_Guinea,s__Plasmodium_falciparum
Babesia_microti,s__Babesia_microti
Toxoplasma_gondii,s__Toxoplasma_gondii
Theileria_parva_strain_Muguga,s__Theileria_parva
Plasmodium_falciparum_isolate_WELLCOME,s__Plasmodium_falciparum
Plasmodium_yoelii_yoelii,s__Plasmodium_yoelii
Plasmodium_falciparum,s__Plasmodium_falciparum
Plasmodium_falciparum_T4_Thailand,s__Plasmodium_falciparum
Plasmodium_berghei_ANKA,s__Plasmodium_berghei
Eimeria_tenella,s__Eimeria_tenella
Plasmodium_vivax_Sal_1,s__Plasmodium_vivax
Plasmodium_vivax_strain_Belem,s__Plasmodium_vivax
Toxoplasma_gondii_VEG,s__Toxoplasma_gondii
Plasmodium_knowlesi,s__Plasmodium_knowlesi
Theileria_equi,s__Theileria_equi
Plasmodium_falciparum_NF7_Ghana,s__Plasmodium_falciparum
Plasmodium_falciparum_FC27_Papua_New_Guinea,s__Plasmodium_falciparum
Plasmodium_knowlesi_strain_H,s__Plasmodium_knowlesi
