"Info_organism_id","N"
"1045775",1
"107819",20
"1193576",1
"119602",10
"1254",1
"1280",46
"1292",1
"1303",9
"1307",12
"1309",48
"1310",7
"1311",10
"1313",121
"1314",298
"1317",2
"1320",6
"1334",3
"1336",4
"1349",10
"1390",11
"1392",40
"1396",1
"1422",1
"1428",6
"1458279",1
"1491",84
"1496",54
"1502",27
"1513",3
"1585",1
"160490",20
"1613",1
"1639",4
"169963",11
"171101",1
"208435",2
"282458",10
"29339",2
"29355",1
"301449",9
"33959",1
"342614",1
"410072",1
"426430",4
"441771",2
"451516",1
"548470",6
"548473",3
"553583",4
"645463",20
"93061",3
"93062",16
