taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
1045775,Paenibacillus_catalpae,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus_catalpae
1639,Listeria_monocytogenes,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__Listeria_monocytogenes
1336,Streptococcus_equi,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_equi
1310,Streptococcus_sobrinus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_sobrinus
441771,Clostridium_botulinum_A_str_Hall,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_botulinum
1496,Clostridioides_difficile,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides_difficile
29355,Ruminiclostridium_cellobioparum,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Ruminiclostridium,s__Ruminiclostridium_cellobioparum
342614,Streptococcus_agalactiae_515,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_agalactiae
548470,Staphylococcus_aureus_subsp_aureus_MN8,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
119602,Streptococcus_dysgalactiae_subsp_equisimilis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_dysgalactiae
1458279,Staphylococcus_aureus_USA300_ISMMS1,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
1392,Bacillus_anthracis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_anthracis
93061,Staphylococcus_aureus_subsp_aureus_NCTC_8325,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
301449,Streptococcus_pyogenes_serotype_M5,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pyogenes
1422,Geobacillus_stearothermophilus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,s__Geobacillus_stearothermophilus
1513,Clostridium_tetani,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_tetani
107819,Clostridium_perfringens_D,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_perfringens
1313,Streptococcus_pneumoniae,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pneumoniae
93062,Staphylococcus_aureus_subsp_aureus_COL,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
33959,Lactobacillus_johnsonii,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_johnsonii
1491,Clostridium_botulinum,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_botulinum
1311,Streptococcus_agalactiae,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_agalactiae
1309,Streptococcus_mutans,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_mutans
1307,Streptococcus_suis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_suis
1193576,Staphylococcus_aureus_subsp_aureus_CN1,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
169963,Listeria_monocytogenes_EGD_e,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__Listeria_monocytogenes
282458,Staphylococcus_aureus_subsp_aureus_MRSA252,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
1314,Streptococcus_pyogenes,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pyogenes
1254,Pediococcus_acidilactici,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,s__Pediococcus_acidilactici
1317,Streptococcus_downei,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_downei
1502,Clostridium_perfringens,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_perfringens
171101,Streptococcus_pneumoniae_R6,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pneumoniae
553583,Staphylococcus_aureus_A9635,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
410072,Coprococcus_comes,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_comes
1303,Streptococcus_oralis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_oralis
29339,Bacillus_thuringiensis_serovar_kurstaki,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_thuringiensis
1396,Bacillus_cereus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_cereus
451516,Staphylococcus_aureus_subsp_aureus_USA300_TCH1516,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
426430,Staphylococcus_aureus_subsp_aureus_str_Newman,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
