"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Bacillus_amyloliquefaciens",1390,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_amyloliquefaciens",FALSE,11,1,"Bacillus amyloliquefaciens(11 peptides)"
"s__Bacillus_anthracis",1392,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_anthracis",FALSE,40,1,"Bacillus anthracis(40 peptides)"
"s__Bacillus_cereus",1396,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_cereus",FALSE,1,1,"Bacillus cereus(1 peptides)"
"s__Bacillus_thuringiensis",29339,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_thuringiensis",FALSE,8,2,"Bacillus thuringiensis(8 peptides)"
"s__Clostridioides_difficile",1496,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides","Clostridioides_difficile",TRUE,74,2,"Clostridioides difficile(74 peptides)"
"s__Clostridium_botulinum",441771,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_botulinum",FALSE,86,2,"Clostridium botulinum(86 peptides)"
"s__Clostridium_perfringens",107819,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_perfringens",FALSE,47,2,"Clostridium perfringens(47 peptides)"
"s__Clostridium_tetani",1513,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_tetani",FALSE,3,1,"Clostridium tetani(3 peptides)"
"s__Coprococcus_comes",410072,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_comes",FALSE,1,1,"Coprococcus comes(1 peptides)"
"s__Geobacillus_stearothermophilus",1422,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus_stearothermophilus",FALSE,1,1,"Geobacillus stearothermophilus(1 peptides)"
"s__Lactobacillus_delbrueckii",1585,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_delbrueckii",FALSE,1,1,"Lactobacillus delbrueckii(1 peptides)"
"s__Lactobacillus_johnsonii",33959,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_johnsonii",FALSE,1,1,"Lactobacillus johnsonii(1 peptides)"
"s__Limosilactobacillus_fermentum",1613,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_fermentum",FALSE,1,1,"Limosilactobacillus fermentum(1 peptides)"
"s__Listeria_monocytogenes",1639,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria_monocytogenes",FALSE,15,2,"Listeria monocytogenes(15 peptides)"
"s__Paenibacillus_catalpae",1045775,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_catalpae",FALSE,1,1,"Paenibacillus catalpae(1 peptides)"
"s__Pediococcus_acidilactici",1254,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus_acidilactici",FALSE,1,1,"Pediococcus acidilactici(1 peptides)"
"s__Ruminiclostridium_cellobioparum",29355,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminiclostridium","Ruminiclostridium_cellobioparum",FALSE,1,1,"Ruminiclostridium cellobioparum(1 peptides)"
"s__Staphylococcus_aureus",548470,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_aureus",FALSE,95,11,"Staphylococcus aureus(95 peptides)"
"s__Staphylococcus_warneri",1292,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_warneri",FALSE,1,1,"Staphylococcus warneri(1 peptides)"
"s__Streptococcus_agalactiae",342614,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_agalactiae",FALSE,13,3,"Streptococcus agalactiae(13 peptides)"
"s__Streptococcus_downei",1317,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_downei",FALSE,2,1,"Streptococcus downei(2 peptides)"
"s__Streptococcus_dysgalactiae",119602,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_dysgalactiae",FALSE,13,2,"Streptococcus dysgalactiae(13 peptides)"
