Input Scientific Name,Leaf Node in Tree
Paenibacillus_catalpae,s__Paenibacillus_catalpae
Listeria_monocytogenes,s__Listeria_monocytogenes
Streptococcus_equi,s__Streptococcus_equi
Streptococcus_sobrinus,s__Streptococcus_sobrinus
Clostridium_botulinum_A_str_Hall,s__Clostridium_botulinum
Clostridioides_difficile,s__Clostridioides_difficile
Ruminiclostridium_cellobioparum,s__Ruminiclostridium_cellobioparum
Streptococcus_agalactiae_515,s__Streptococcus_agalactiae
Staphylococcus_aureus_subsp_aureus_MN8,s__Staphylococcus_aureus
Streptococcus_dysgalactiae_subsp_equisimilis,s__Streptococcus_dysgalactiae
Staphylococcus_aureus_USA300_ISMMS1,s__Staphylococcus_aureus
Bacillus_anthracis,s__Bacillus_anthracis
Staphylococcus_aureus_subsp_aureus_NCTC_8325,s__Staphylococcus_aureus
Streptococcus_pyogenes_serotype_M5,s__Streptococcus_pyogenes
Geobacillus_stearothermophilus,s__Geobacillus_stearothermophilus
Clostridium_tetani,s__Clostridium_tetani
Clostridium_perfringens_D,s__Clostridium_perfringens
Streptococcus_pneumoniae,s__Streptococcus_pneumoniae
Staphylococcus_aureus_subsp_aureus_COL,s__Staphylococcus_aureus
Lactobacillus_johnsonii,s__Lactobacillus_johnsonii
Clostridium_botulinum,s__Clostridium_botulinum
Streptococcus_agalactiae,s__Streptococcus_agalactiae
Streptococcus_mutans,s__Streptococcus_mutans
Streptococcus_suis,s__Streptococcus_suis
Staphylococcus_aureus_subsp_aureus_CN1,s__Staphylococcus_aureus
Listeria_monocytogenes_EGD_e,s__Listeria_monocytogenes
Staphylococcus_aureus_subsp_aureus_MRSA252,s__Staphylococcus_aureus
Streptococcus_pyogenes,s__Streptococcus_pyogenes
Pediococcus_acidilactici,s__Pediococcus_acidilactici
Streptococcus_downei,s__Streptococcus_downei
Clostridium_perfringens,s__Clostridium_perfringens
Streptococcus_pneumoniae_R6,s__Streptococcus_pneumoniae
Staphylococcus_aureus_A9635,s__Staphylococcus_aureus
Coprococcus_comes,s__Coprococcus_comes
Streptococcus_oralis,s__Streptococcus_oralis
Bacillus_thuringiensis_serovar_kurstaki,s__Bacillus_thuringiensis
Bacillus_cereus,s__Bacillus_cereus
Staphylococcus_aureus_subsp_aureus_USA300_TCH1516,s__Staphylococcus_aureus
Staphylococcus_aureus_subsp_aureus_str_Newman,s__Staphylococcus_aureus
Lactobacillus_delbrueckii_subsp_bulgaricus,s__Lactobacillus_delbrueckii
Staphylococcus_aureus,s__Staphylococcus_aureus
Bacillus_thuringiensis,s__Bacillus_thuringiensis
Streptococcus_agalactiae_2603V_R,s__Streptococcus_agalactiae
Bacillus_amyloliquefaciens,s__Bacillus_amyloliquefaciens
Streptococcus_dysgalactiae,s__Streptococcus_dysgalactiae
Staphylococcus_warneri,s__Staphylococcus_warneri
Staphylococcus_aureus_subsp_aureus_TCH60,s__Staphylococcus_aureus
Clostridioides_difficile_R20291,s__Clostridioides_difficile
Streptococcus_sp_group_G,s__Streptococcus_sp_group_G
Streptococcus_pyogenes_M1_GAS,s__Streptococcus_pyogenes
Streptococcus_uberis,s__Streptococcus_uberis
Limosilactobacillus_fermentum,s__Limosilactobacillus_fermentum
