taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
10249,Vaccinia_virus_Copenhagen,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Chitovirales,f__Poxviridae,g__Orthopoxvirus,s__Vaccinia_virus
10514,Canine_adenovirus_2,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Canine_mastadenovirus_A
10244,Monkeypox_virus,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Chitovirales,f__Poxviridae,g__Orthopoxvirus,s__Monkeypox_virus
10533,Human_adenovirus_1,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_C
10515,Human_adenovirus_2,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_C
10519,Human_adenovirus_7,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B
130663,Fowl_aviadenovirus_4,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Aviadenovirus,s__Fowl_aviadenovirus_C
46941,Human_adenovirus_46,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_D
10524,Human_adenovirus_41,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_F
714978,Human_adenovirus_55,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B
10530,Murine_adenovirus_1,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Murine_mastadenovirus_A
573199,Murine_adenovirus_3,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Murine_mastadenovirus_C
874269,African_swine_fever_virus_Georgia_2007_1,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Asfuvirales,f__Asfarviridae,g__Asfivirus,s__African_swine_fever_virus
10245,Vaccinia_virus,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Chitovirales,f__Poxviridae,g__Orthopoxvirus,s__Vaccinia_virus
108098,Human_mastadenovirus_B,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B
343463,Human_adenovirus_11a,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B
10497,African_swine_fever_virus,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Asfuvirales,f__Asfarviridae,g__Asfivirus,s__African_swine_fever_virus
28282,Human_adenovirus_12,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_A
28284,Human_adenovirus_40,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_F
10498,African_swine_fever_virus_BA71V,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Asfuvirales,f__Asfarviridae,g__Asfivirus,s__African_swine_fever_virus
190063,Fowl_aviadenovirus_C,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Aviadenovirus,s__Fowl_aviadenovirus_C
31545,Human_adenovirus_D8,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_D
10254,Vaccinia_virus_WR,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Chitovirales,f__Poxviridae,g__Orthopoxvirus,s__Vaccinia_virus
28285,Human_adenovirus_5,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_C
10243,Cowpox_virus,d__Viruses,k__Bamfordvirae,p__Nucleocytoviricota,c__Pokkesviricetes,o__Chitovirales,f__Poxviridae,g__Orthopoxvirus,s__Cowpox_virus
343462,Human_adenovirus_11p,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B
28280,Human_adenovirus_E4,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_E
45659,Human_adenovirus_B3,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B
10521,Human_adenovirus_14,d__Viruses,k__Bamfordvirae,p__Preplasmiviricota,c__Tectiliviricetes,o__Rowavirales,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B
