id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Vaccinia_virus,10249,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Vaccinia_virus
s__Canine_mastadenovirus_A,10514,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Canine_mastadenovirus_A
s__Monkeypox_virus,10244,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Monkeypox_virus
s__Human_mastadenovirus_C,10533,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_C
s__Human_mastadenovirus_C,10515,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_C
s__Human_mastadenovirus_B,10519,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B
s__Fowl_aviadenovirus_C,130663,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl_aviadenovirus_C
s__Human_mastadenovirus_D,46941,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_D
s__Human_mastadenovirus_F,10524,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_F
s__Human_mastadenovirus_B,714978,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B
s__Murine_mastadenovirus_A,10530,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Murine_mastadenovirus_A
s__Murine_mastadenovirus_C,573199,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Murine_mastadenovirus_C
s__African_swine_fever_virus,874269,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African_swine_fever_virus
s__Vaccinia_virus,10245,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Vaccinia_virus
s__Human_mastadenovirus_B,108098,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B
s__Human_mastadenovirus_B,343463,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B
s__African_swine_fever_virus,10497,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African_swine_fever_virus
s__Human_mastadenovirus_A,28282,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_A
s__Human_mastadenovirus_F,28284,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_F
s__African_swine_fever_virus,10498,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African_swine_fever_virus
s__Fowl_aviadenovirus_C,190063,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl_aviadenovirus_C
s__Human_mastadenovirus_D,31545,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_D
s__Vaccinia_virus,10254,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Vaccinia_virus
s__Human_mastadenovirus_C,28285,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_C
s__Cowpox_virus,10243,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Cowpox_virus
s__Human_mastadenovirus_B,343462,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B
s__Human_mastadenovirus_E,28280,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_E
s__Human_mastadenovirus_B,45659,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B
s__Human_mastadenovirus_B,10521,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B
