"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__African_swine_fever_virus",874269,"Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Asfuvirales","Asfarviridae","Asfivirus","African_swine_fever_virus",FALSE,56,3,"African swine fever virus(56 peptides)"
"s__Canine_mastadenovirus_A",10514,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Canine_mastadenovirus_A",FALSE,2,1,"Canine mastadenovirus A(2 peptides)"
"s__Cowpox_virus",10243,"Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Cowpox_virus",TRUE,1,1,"Cowpox virus(1 peptides)"
"s__Fowl_aviadenovirus_C",130663,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Aviadenovirus","Fowl_aviadenovirus_C",FALSE,4,2,"Fowl aviadenovirus C(4 peptides)"
"s__Human_mastadenovirus_A",28282,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human_mastadenovirus_A",FALSE,2,1,"Human mastadenovirus A(2 peptides)"
"s__Human_mastadenovirus_B",10519,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human_mastadenovirus_B",FALSE,37,7,"Human mastadenovirus B(37 peptides)"
"s__Human_mastadenovirus_C",10533,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human_mastadenovirus_C",FALSE,30,3,"Human mastadenovirus C(30 peptides)"
"s__Human_mastadenovirus_D",46941,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human_mastadenovirus_D",FALSE,2,2,"Human mastadenovirus D(2 peptides)"
"s__Human_mastadenovirus_E",28280,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human_mastadenovirus_E",FALSE,1,1,"Human mastadenovirus E(1 peptides)"
"s__Human_mastadenovirus_F",10524,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human_mastadenovirus_F",FALSE,3,2,"Human mastadenovirus F(3 peptides)"
"s__Monkeypox_virus",10244,"Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Monkeypox_virus",TRUE,4,1,"Monkeypox virus(4 peptides)"
"s__Murine_mastadenovirus_A",10530,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Murine_mastadenovirus_A",FALSE,1,1,"Murine mastadenovirus A(1 peptides)"
"s__Murine_mastadenovirus_C",573199,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Murine_mastadenovirus_C",FALSE,1,1,"Murine mastadenovirus C(1 peptides)"
"s__Vaccinia_virus",10249,"Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Vaccinia_virus",TRUE,29,3,"Vaccinia virus(29 peptides)"
