Input Scientific Name,Leaf Node in Tree
Vaccinia_virus_Copenhagen,s__Vaccinia_virus
Canine_adenovirus_2,s__Canine_mastadenovirus_A
Monkeypox_virus,s__Monkeypox_virus
Human_adenovirus_1,s__Human_mastadenovirus_C
Human_adenovirus_2,s__Human_mastadenovirus_C
Human_adenovirus_7,s__Human_mastadenovirus_B
Fowl_aviadenovirus_4,s__Fowl_aviadenovirus_C
Human_adenovirus_46,s__Human_mastadenovirus_D
Human_adenovirus_41,s__Human_mastadenovirus_F
Human_adenovirus_55,s__Human_mastadenovirus_B
Murine_adenovirus_1,s__Murine_mastadenovirus_A
Murine_adenovirus_3,s__Murine_mastadenovirus_C
African_swine_fever_virus_Georgia_2007_1,s__African_swine_fever_virus
Vaccinia_virus,s__Vaccinia_virus
Human_mastadenovirus_B,s__Human_mastadenovirus_B
Human_adenovirus_11a,s__Human_mastadenovirus_B
African_swine_fever_virus,s__African_swine_fever_virus
Human_adenovirus_12,s__Human_mastadenovirus_A
Human_adenovirus_40,s__Human_mastadenovirus_F
African_swine_fever_virus_BA71V,s__African_swine_fever_virus
Fowl_aviadenovirus_C,s__Fowl_aviadenovirus_C
Human_adenovirus_D8,s__Human_mastadenovirus_D
Vaccinia_virus_WR,s__Vaccinia_virus
Human_adenovirus_5,s__Human_mastadenovirus_C
Cowpox_virus,s__Cowpox_virus
Human_adenovirus_11p,s__Human_mastadenovirus_B
Human_adenovirus_E4,s__Human_mastadenovirus_E
Human_adenovirus_B3,s__Human_mastadenovirus_B
Human_adenovirus_14,s__Human_mastadenovirus_B
