taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
813,Chlamydia_trachomatis,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_trachomatis
1112254,Chlamydia_psittaci_02DC15,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_psittaci
83557,Chlamydia_caviae,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_caviae
315277,Chlamydia_trachomatis_A_HAR_13,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_trachomatis
1050221,Chlamydia_psittaci_NJ1,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_psittaci
759363,Chlamydia_trachomatis_D_EC,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_trachomatis
1457141,Chlamydia_avium,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_avium
1405296,Chlamydia_suis_MD56,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_suis
1112269,Chlamydia_psittaci_09DC78,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_psittaci
1427371,Chlamydia_pecorum_VR629,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_pecorum
83555,Chlamydia_abortus,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_abortus
182082,Chlamydia_pneumoniae_TW_183,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_pneumoniae
83556,Chlamydia_felis,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_felis
672161,Chlamydia_trachomatis_B_TZ1A828_OT,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_trachomatis
1112244,Chlamydia_psittaci_06_1683,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_psittaci
115713,Chlamydia_pneumoniae_CWL029,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_pneumoniae
634464,Chlamydia_trachomatis_Sweden2,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_trachomatis
227941,Chlamydia_caviae_GPIC,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_caviae
83559,Chlamydia_suis,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_suis
85991,Chlamydia_pecorum,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_pecorum
83560,Chlamydia_muridarum,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_muridarum
331635,Chlamydia_pecorum_E58,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_pecorum
272561,Chlamydia_trachomatis_D_UW_3_CX,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_trachomatis
1457153,Chlamydia_gallinacea,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_gallinacea
199738,uncultured_Chlamydia_sp,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__uncultured_Chlamydia_sp
115711,Chlamydia_pneumoniae_AR39,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_pneumoniae
264202,Chlamydia_felis_Fe_C_56,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_felis
580047,Chlamydia_trachomatis_A2497,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_trachomatis
218497,Chlamydia_abortus_S26_3,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_abortus
83554,Chlamydia_psittaci,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_psittaci
243161,Chlamydia_muridarum_str_Nigg,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_muridarum
83558,Chlamydia_pneumoniae,d__Bacteria,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia_pneumoniae
