"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Chlamydia_abortus",83555,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_abortus",FALSE,37,2,"Chlamydia abortus(37 peptides)"
"s__Chlamydia_avium",1457141,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_avium",FALSE,1,1,"Chlamydia avium(1 peptides)"
"s__Chlamydia_caviae",83557,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_caviae",FALSE,8,2,"Chlamydia caviae(8 peptides)"
"s__Chlamydia_felis",83556,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_felis",FALSE,15,2,"Chlamydia felis(15 peptides)"
"s__Chlamydia_gallinacea",1457153,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_gallinacea",FALSE,2,1,"Chlamydia gallinacea(2 peptides)"
"s__Chlamydia_muridarum",83560,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_muridarum",FALSE,30,2,"Chlamydia muridarum(30 peptides)"
"s__Chlamydia_pecorum",1427371,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_pecorum",FALSE,95,3,"Chlamydia pecorum(95 peptides)"
"s__Chlamydia_pneumoniae",182082,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_pneumoniae",FALSE,117,4,"Chlamydia pneumoniae(117 peptides)"
"s__Chlamydia_psittaci",1112254,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_psittaci",FALSE,40,5,"Chlamydia psittaci(40 peptides)"
"s__Chlamydia_suis",1405296,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_suis",FALSE,22,2,"Chlamydia suis(22 peptides)"
"s__Chlamydia_trachomatis",813,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_trachomatis",TRUE,223,7,"Chlamydia trachomatis(223 peptides)"
"s__uncultured_Chlamydia_sp",199738,"Bacteria","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","uncultured_Chlamydia_sp",FALSE,2,1,"uncultured Chlamydia sp(2 peptides)"
