Input Scientific Name,Leaf Node in Tree
Chlamydia_trachomatis,s__Chlamydia_trachomatis
Chlamydia_psittaci_02DC15,s__Chlamydia_psittaci
Chlamydia_caviae,s__Chlamydia_caviae
Chlamydia_trachomatis_A_HAR_13,s__Chlamydia_trachomatis
Chlamydia_psittaci_NJ1,s__Chlamydia_psittaci
Chlamydia_trachomatis_D_EC,s__Chlamydia_trachomatis
Chlamydia_avium,s__Chlamydia_avium
Chlamydia_suis_MD56,s__Chlamydia_suis
Chlamydia_psittaci_09DC78,s__Chlamydia_psittaci
Chlamydia_pecorum_VR629,s__Chlamydia_pecorum
Chlamydia_abortus,s__Chlamydia_abortus
Chlamydia_pneumoniae_TW_183,s__Chlamydia_pneumoniae
Chlamydia_felis,s__Chlamydia_felis
Chlamydia_trachomatis_B_TZ1A828_OT,s__Chlamydia_trachomatis
Chlamydia_psittaci_06_1683,s__Chlamydia_psittaci
Chlamydia_pneumoniae_CWL029,s__Chlamydia_pneumoniae
Chlamydia_trachomatis_Sweden2,s__Chlamydia_trachomatis
Chlamydia_caviae_GPIC,s__Chlamydia_caviae
Chlamydia_suis,s__Chlamydia_suis
Chlamydia_pecorum,s__Chlamydia_pecorum
Chlamydia_muridarum,s__Chlamydia_muridarum
Chlamydia_pecorum_E58,s__Chlamydia_pecorum
Chlamydia_trachomatis_D_UW_3_CX,s__Chlamydia_trachomatis
Chlamydia_gallinacea,s__Chlamydia_gallinacea
uncultured_Chlamydia_sp,s__uncultured_Chlamydia_sp
Chlamydia_pneumoniae_AR39,s__Chlamydia_pneumoniae
Chlamydia_felis_Fe_C_56,s__Chlamydia_felis
Chlamydia_trachomatis_A2497,s__Chlamydia_trachomatis
Chlamydia_abortus_S26_3,s__Chlamydia_abortus
Chlamydia_psittaci,s__Chlamydia_psittaci
Chlamydia_muridarum_str_Nigg,s__Chlamydia_muridarum
Chlamydia_pneumoniae,s__Chlamydia_pneumoniae
