taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
10323,Bovine_herpesvirus_type_1_1_strain_Cooper,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Varicellovirus,s__Bovine_alphaherpesvirus_1
10331,Equid_alphaherpesvirus_4,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Varicellovirus,s__Equid_alphaherpesvirus_4
10298,Human_alphaherpesvirus_1,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Simplexvirus,s__Human_alphaherpesvirus_1
69156,Murine_cytomegalovirus_strain_K181,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Muromegalovirus,s__Murid_betaherpesvirus_1
10325,Macacine_alphaherpesvirus_1,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Simplexvirus,s__Macacine_alphaherpesvirus_1
10320,Bovine_alphaherpesvirus_1,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Varicellovirus,s__Bovine_alphaherpesvirus_1
10313,Human_herpesvirus_2_strain_333,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Simplexvirus,s__Human_alphaherpesvirus_2
71366,Staphylococcus_phage_PVL,d__Viruses,k__Heunggongvirae,p__Uroviricota,c__Caudoviricetes,o__Caudovirales,f__Siphoviridae,g__Peeveelvirus,s__Staphylococcus_virus_PVL
10306,Human_alphaherpesvirus_1_strain_KOS,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Simplexvirus,s__Human_alphaherpesvirus_1
10359,Human_betaherpesvirus_5,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Cytomegalovirus,s__Human_betaherpesvirus_5
10299,Human_alphaherpesvirus_1_strain_17,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Simplexvirus,s__Human_alphaherpesvirus_1
79889,Bovine_herpesvirus_type_1_1,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Varicellovirus,s__Bovine_alphaherpesvirus_1
10310,Human_alphaherpesvirus_2,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Simplexvirus,s__Human_alphaherpesvirus_2
10366,Murid_betaherpesvirus_1,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Muromegalovirus,s__Murid_betaherpesvirus_1
32604,Human_betaherpesvirus_6B,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Roseolovirus,s__Human_betaherpesvirus_6B
10335,Human_alphaherpesvirus_3,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Varicellovirus,s__Human_alphaherpesvirus_3
37107,Human_alphaherpesvirus_1_strain_MGH_10,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Simplexvirus,s__Human_alphaherpesvirus_1
10326,Equid_alphaherpesvirus_1,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Varicellovirus,s__Equid_alphaherpesvirus_1
82830,Epstein_barr_virus_strain_ag876,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Lymphocryptovirus,s__Human_gammaherpesvirus_4
10372,Human_betaherpesvirus_7,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Roseolovirus,s__Human_betaherpesvirus_7
10363,Human_herpesvirus_5_strain_Towne,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Cytomegalovirus,s__Human_betaherpesvirus_5
10665,Escherichia_virus_T4,d__Viruses,k__Heunggongvirae,p__Uroviricota,c__Caudoviricetes,o__Caudovirales,f__Myoviridae,g__Tequatrovirus,s__Escherichia_virus_T4
103920,Guinea_pig_cytomegalovirus_strain_22122_ATCC_VR682_GPCMV,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Quwivirus,s__Caviid_betaherpesvirus_2
10360,Human_herpesvirus_5_strain_AD169,d__Viruses,k__Heunggongvirae,p__Peploviricota,c__Herviviricetes,o__Herpesvirales,f__Herpesviridae,g__Cytomegalovirus,s__Human_betaherpesvirus_5
