"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Bovine_alphaherpesvirus_1",10323,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Bovine_alphaherpesvirus_1",FALSE,12,3,"Bovine alphaherpesvirus 1(12 peptides)"
"s__Caviid_betaherpesvirus_2",103920,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Quwivirus","Caviid_betaherpesvirus_2",FALSE,4,2,"Caviid betaherpesvirus 2(4 peptides)"
"s__Equid_alphaherpesvirus_1",10326,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Equid_alphaherpesvirus_1",FALSE,5,1,"Equid alphaherpesvirus 1(5 peptides)"
"s__Equid_alphaherpesvirus_4",10331,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Equid_alphaherpesvirus_4",FALSE,5,1,"Equid alphaherpesvirus 4(5 peptides)"
"s__Escherichia_virus_T4",10665,"Viruses","Heunggongvirae","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Escherichia_virus_T4",FALSE,8,1,"Escherichia virus T4(8 peptides)"
"s__Escherichia_virus_T7",10760,"Viruses","Heunggongvirae","Uroviricota","Caudoviricetes","Caudovirales","Autographiviridae","Teseptimavirus","Escherichia_virus_T7",FALSE,2,1,"Escherichia virus T7(2 peptides)"
"s__Human_alphaherpesvirus_1",10298,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human_alphaherpesvirus_1",FALSE,152,6,"Human alphaherpesvirus 1(152 peptides)"
"s__Human_alphaherpesvirus_2",10313,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human_alphaherpesvirus_2",FALSE,84,2,"Human alphaherpesvirus 2(84 peptides)"
"s__Human_alphaherpesvirus_3",10335,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Human_alphaherpesvirus_3",FALSE,6,1,"Human alphaherpesvirus 3(6 peptides)"
"s__Human_betaherpesvirus_5",10359,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Human_betaherpesvirus_5",FALSE,254,3,"Human betaherpesvirus 5(254 peptides)"
"s__Human_betaherpesvirus_6A",32603,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Human_betaherpesvirus_6A",FALSE,4,2,"Human betaherpesvirus 6A(4 peptides)"
"s__Human_betaherpesvirus_6B",32604,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Human_betaherpesvirus_6B",FALSE,6,2,"Human betaherpesvirus 6B(6 peptides)"
"s__Human_betaherpesvirus_7",10372,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Human_betaherpesvirus_7",FALSE,2,1,"Human betaherpesvirus 7(2 peptides)"
"s__Human_gammaherpesvirus_4",82830,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Lymphocryptovirus","Human_gammaherpesvirus_4",TRUE,820,4,"Human gammaherpesvirus 4(820 peptides)"
"s__Human_gammaherpesvirus_8",37296,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Rhadinovirus","Human_gammaherpesvirus_8",FALSE,10,1,"Human gammaherpesvirus 8(10 peptides)"
"s__Macacine_alphaherpesvirus_1",10325,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Macacine_alphaherpesvirus_1",FALSE,87,1,"Macacine alphaherpesvirus 1(87 peptides)"
"s__Murid_betaherpesvirus_1",69156,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Muromegalovirus","Murid_betaherpesvirus_1",FALSE,12,2,"Murid betaherpesvirus 1(12 peptides)"
"s__Staphylococcus_virus_PVL",71366,"Viruses","Heunggongvirae","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Peeveelvirus","Staphylococcus_virus_PVL",FALSE,1,1,"Staphylococcus virus PVL(1 peptides)"
"s__Suid_alphaherpesvirus_1",10345,"Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Suid_alphaherpesvirus_1",FALSE,12,1,"Suid alphaherpesvirus 1(12 peptides)"
