Input Scientific Name,Leaf Node in Tree
Bovine_herpesvirus_type_1_1_strain_Cooper,s__Bovine_alphaherpesvirus_1
Equid_alphaherpesvirus_4,s__Equid_alphaherpesvirus_4
Human_alphaherpesvirus_1,s__Human_alphaherpesvirus_1
Murine_cytomegalovirus_strain_K181,s__Murid_betaherpesvirus_1
Macacine_alphaherpesvirus_1,s__Macacine_alphaherpesvirus_1
Bovine_alphaherpesvirus_1,s__Bovine_alphaherpesvirus_1
Human_herpesvirus_2_strain_333,s__Human_alphaherpesvirus_2
Staphylococcus_phage_PVL,s__Staphylococcus_virus_PVL
Human_alphaherpesvirus_1_strain_KOS,s__Human_alphaherpesvirus_1
Human_betaherpesvirus_5,s__Human_betaherpesvirus_5
Human_alphaherpesvirus_1_strain_17,s__Human_alphaherpesvirus_1
Bovine_herpesvirus_type_1_1,s__Bovine_alphaherpesvirus_1
Human_alphaherpesvirus_2,s__Human_alphaherpesvirus_2
Murid_betaherpesvirus_1,s__Murid_betaherpesvirus_1
Human_betaherpesvirus_6B,s__Human_betaherpesvirus_6B
Human_alphaherpesvirus_3,s__Human_alphaherpesvirus_3
Human_alphaherpesvirus_1_strain_MGH_10,s__Human_alphaherpesvirus_1
Equid_alphaherpesvirus_1,s__Equid_alphaherpesvirus_1
Epstein_barr_virus_strain_ag876,s__Human_gammaherpesvirus_4
Human_betaherpesvirus_7,s__Human_betaherpesvirus_7
Human_herpesvirus_5_strain_Towne,s__Human_betaherpesvirus_5
Escherichia_virus_T4,s__Escherichia_virus_T4
Guinea_pig_cytomegalovirus_strain_22122_ATCC_VR682_GPCMV,s__Caviid_betaherpesvirus_2
Human_herpesvirus_5_strain_AD169,s__Human_betaherpesvirus_5
Human_gammaherpesvirus_8,s__Human_gammaherpesvirus_8
Suid_alphaherpesvirus_1,s__Suid_alphaherpesvirus_1
Human_herpesvirus_4_strain_B95_8,s__Human_gammaherpesvirus_4
Escherichia_phage_T7,s__Escherichia_virus_T7
Human_gammaherpesvirus_4,s__Human_gammaherpesvirus_4
Caviid_betaherpesvirus_2,s__Caviid_betaherpesvirus_2
Human_alphaherpesvirus_1_strain_F,s__Human_alphaherpesvirus_1
Human_herpesvirus_6_strain_Z29,s__Human_betaherpesvirus_6B
Human_betaherpesvirus_6A,s__Human_betaherpesvirus_6A
Human_herpesvirus_6_strain_GS,s__Human_betaherpesvirus_6A
Human_alphaherpesvirus_1_strain_SC16,s__Human_alphaherpesvirus_1
Human_herpesvirus_4_type_2,s__Human_gammaherpesvirus_4
