Input Scientific Name,Leaf Node in Tree
Sendai_virus_strain_Harris,s__Murine_respirovirus
Human_respiratory_syncytial_virus_A,s__Human_orthopneumovirus
Influenza_A_virus_A_Xinjiang_1_2006_H5N1,s__Influenza_A_virus
Influenza_A_virus_A_Singapore_1_1957_H2N2,s__Influenza_A_virus
Bovine_respiratory_syncytial_virus_strain_snook,s__Bovine_orthopneumovirus
Influenza_A_virus_A_swine_Iowa_15_1930_H1N1,s__Influenza_A_virus
Influenza_A_virus_A_Memphis_1_1971_H3N2,s__Influenza_A_virus
Isla_Vista_hantavirus,s__Isla_Vista_hantavirus
Influenza_A_virus_A_Thailand_271_2005_H1N1,s__Influenza_A_virus
Prospect_Hill_orthohantavirus,s__Prospect_Hill_orthohantavirus
Guertu_virus,s__Guertu_bandavirus
Influenza_A_virus_A_Hong_Kong_01_2009_H1N1,s__Influenza_A_virus
Influenza_A_virus_A_swine_Tennessee_25_1977_H1N1,s__Influenza_A_virus
Influenza_A_virus,s__Influenza_A_virus
Lymphocytic_choriomeningitis_virus_strain_Armstrong,s__Lymphocytic_choriomeningitis_mammarenavirus
Influenza_A_virus_A_Dk_ST_5048_2001_H3N8,s__Influenza_A_virus
Influenza_A_virus_A_chicken_Taiwan_0329_01_H6N1,s__Influenza_A_virus
Influenza_A_virus_A_Hong_Kong_542_97_H5N1,s__Influenza_A_virus
Rinderpest_virus_strain_RBOK,s__Rinderpest_morbillivirus
Toscana_virus,s__Toscana_phlebovirus
Human_orthopneumovirus,s__Human_orthopneumovirus
Tula_orthohantavirus,s__Tula_orthohantavirus
Bayou_orthohantavirus,s__Bayou_orthohantavirus
Marburg_marburgvirus,s__Marburg_marburgvirus
Lassa_mammarenavirus,s__Lassa_mammarenavirus
Influenza_A_virus_A_unknown_New_York_11646_5_2005_H7N2,s__Influenza_A_virus
Influenza_A_virus_A_WSN_1933_H1N1,s__Influenza_A_virus
Influenza_A_virus_A_chicken_Guangdong_S1200_2015_H7N9,s__Influenza_A_virus
Human_respiratory_syncytial_virus_strain_RSB6256,s__Human_orthopneumovirus
Influenza_A_virus_A_Michigan_2_2003_H1N2,s__Influenza_A_virus
Human_parainfluenza_3_virus_strain_NIH_47885,s__Human_respirovirus_3
Influenza_B_virus_B_Brisbane_60_2008,s__Influenza_B_virus
Influenza_A_virus_A_Hong_Kong_1074_1999_H9N2,s__Influenza_A_virus
Measles_virus_strain_Edmonston,s__Measles_morbillivirus
Influenza_A_virus_A_Hong_Kong_156_97_H5N1,s__Influenza_A_virus
Influenza_A_virus_A_Hong_Kong_213_2003_H5N1,s__Influenza_A_virus
Influenza_A_virus_A_Shandong_9_1993_H3N2,s__Influenza_A_virus
Influenza_A_virus_A_Hong_Kong_483_1997_H5N1,s__Influenza_A_virus
Influenza_A_virus_A_Wuhan_359_1995_H3N2,s__Influenza_A_virus
Watermelon_silver_mottle_orthotospovirus,s__Watermelon_silver_mottle_orthotospovirus
Andes_orthohantavirus,s__Andes_orthohantavirus
Influenza_C_virus_C_Ann_Arbor_1_50,s__Influenza_C_virus
Influenza_A_virus_A_Viet_Nam_1203_2004_H5N1,s__Influenza_A_virus
Lassa_virus_Josiah,s__Lassa_mammarenavirus
Influenza_A_virus_A_USSR_90_1977_H1N1,s__Influenza_A_virus
Influenza_A_virus_A_Ck_Viet_Nam_36_2004_H5N1,s__Influenza_A_virus
Influenza_A_virus_A_Korea_01_2009_H1N1,s__Influenza_A_virus
Influenza_A_virus_A_California_04_2009_H1N1,s__Influenza_A_virus
Nipah_henipavirus,s__Nipah_henipavirus
Influenza_A_virus_A_England_878_1969_H3N2,s__Influenza_A_virus
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2,s__Influenza_A_virus
Influenza_A_virus_A_Philippines_2_1982_H3N2,s__Influenza_A_virus
Influenza_A_virus_A_mallard_Alberta_202_1996_H2N5,s__Influenza_A_virus
Influenza_A_virus_A_Indonesia_CDC1032N_2007_H5N1,s__Influenza_A_virus
Influenza_A_virus_A_chicken_Korea_IS_2006_H5N1,s__Influenza_A_virus
Influenza_A_virus_A_Aichi_2_1968_H3N2,s__Influenza_A_virus
Rio_Segundo_hantavirus,s__Rio_Segundo_hantavirus
Rabies_lyssavirus,s__Rabies_lyssavirus
Influenza_A_virus_A_Hong_Kong_1131_1998_H1N1,s__Influenza_A_virus
Human_respiratory_syncytial_virus_subgroup_B_strain_18537,s__Human_orthopneumovirus
Influenza_A_virus_A_tern_South_Africa_1961_H5N3,s__Influenza_A_virus
Argentinian_mammarenavirus,s__Argentinian_mammarenavirus
Measles_morbillivirus,s__Measles_morbillivirus
Influenza_A_virus_A_Udorn_8_1972_H3N2,s__Influenza_A_virus
