id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Murine_respirovirus,11196,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,Murine_respirovirus
s__Human_orthopneumovirus,208893,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human_orthopneumovirus
s__Influenza_A_virus,577543,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,382781,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Bovine_orthopneumovirus,82824,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Bovine_orthopneumovirus
s__Influenza_A_virus,380342,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,383586,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Isla_Vista_hantavirus,42097,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Isla_Vista_hantavirus
s__Influenza_A_virus,411157,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Prospect_Hill_orthohantavirus,1980485,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Prospect_Hill_orthohantavirus
s__Guertu_bandavirus,1763596,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Bandavirus,Guertu_bandavirus
s__Influenza_A_virus,645724,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,332747,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,11320,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Lymphocytic_choriomeningitis_mammarenavirus,11624,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Lymphocytic_choriomeningitis_mammarenavirus
s__Influenza_A_virus,284202,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,371214,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,155220,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Rinderpest_morbillivirus,36409,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,Rinderpest_morbillivirus
s__Toscana_phlebovirus,11590,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,Toscana_phlebovirus
s__Human_orthopneumovirus,11250,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human_orthopneumovirus
s__Tula_orthohantavirus,1980494,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Tula_orthohantavirus
s__Bayou_orthohantavirus,1980459,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Bayou_orthohantavirus
s__Marburg_marburgvirus,11269,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Marburgvirus,Marburg_marburgvirus
s__Lassa_mammarenavirus,11620,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Lassa_mammarenavirus
s__Influenza_A_virus,506282,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,382835,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,2026007,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Human_orthopneumovirus,11256,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human_orthopneumovirus
s__Influenza_A_virus,402938,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Human_respirovirus_3,11217,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,Human_respirovirus_3
s__Influenza_B_virus,604436,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Betainfluenzavirus,Influenza_B_virus
s__Influenza_A_virus,680690,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Measles_morbillivirus,11235,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,Measles_morbillivirus
s__Influenza_A_virus,130763,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,432070,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,1144025,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,88104,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,63106,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
