"Info_organism_id","N"
"1006061",1
"100835",1
"1016852",3
"1016853",5
"10243",1
"10244",4
"10245",1
"10249",16
"10254",12
"10298",103
"10299",29
"10301",5
"10304",8
"10305",1
"10306",8
"10309",3
"10310",82
"10313",2
"10315",22
"10320",6
"10323",5
"10325",87
"10326",5
"10328",1
"10330",2
"10331",5
"10335",6
"10338",1
"10345",12
"10359",175
"10360",59
"10363",20
"10366",9
"10369",1
"10372",2
"10376",654
"10377",64
"103902",1
"103903",8
"103905",2
"103906",2
"103920",1
"103929",3
"10407",148
"10408",4
"10409",2
"10410",4
"10414",3
"10419",12
"10422",1
"10423",1
"10430",2
"10479",1
"10497",13
"10498",36
"10500",3
"10514",2
"10515",16
"10519",5
"10521",4
"1052158",1
"10524",1
"10530",1
"1053141",3
"10533",1
"10562",5
"10566",1
"10573",1
"10574",1
"10580",6
"10583",7
"10585",8
"10586",5
"10587",1
"10588",1
"10593",5
"10595",1
"10596",1
"10598",29
"10600",6
"10611",1
"10615",1
"10618",2
"10620",1
"10623",2
"10632",8
"10665",8
"1069537",1
"10760",2
"10783",3
"10788",9
"10791",1
"10796",15
"10798",18
"10804",20
"108098",3
"10863",1
"10864",2
"10879",2
"10900",2
"10903",1
"10904",2
"10915",1
"10923",3
"10927",15
"10941",4
"10962",3
"10995",5
"110195",16
"11021",25
"11033",10
"11034",14
"11036",5
"11037",2
"11038",1
"11039",4
"11041",19
"11045",5
"11047",2
"11048",2
"11049",21
"11053",277
"11059",102
"11060",592
"11062",1
"11063",1
"11064",14
"11065",104
"11066",10
"11069",496
"11070",295
"11072",34
"11077",7
"11078",2
"11079",27
"11080",9
"11081",2
"11082",29
"11083",1
"11084",27
"11087",6
"11089",357
"11090",80
"11096",17
"11098",2
"11099",4
"11100",1
"11103",375
"11104",82
"11105",20
"11110",1
"11112",1
"11113",78
"11114",5
"11115",62
"11116",71
"11120",21
"11128",50
"11131",3
"11134",2
"11135",13
"11137",598
"11138",3
"11142",22
"11144",7
"11149",8
"11150",1
"11151",8
"11171",1
"11178",1
"11180",1
"11191",4
"11196",2
"11198",1
"11215",3
"11217",8
"11232",15
"11234",22
"11235",40
