taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
31715,Bean_pod_mottle_virus_strain_Kentucky_G7,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Secoviridae,g__Comovirus,s__Bean_pod_mottle_virus
208893,Human_respiratory_syncytial_virus_A,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Pneumoviridae,g__Orthopneumovirus,s__Human_orthopneumovirus
577543,Influenza_A_virus_A_Xinjiang_1_2006_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
82639,Coxsackievirus_B2,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_B
411157,Influenza_A_virus_A_Thailand_271_2005_H1N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
12060,Echovirus_E9,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_B
1980485,Prospect_Hill_orthohantavirus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Ellioviricetes,o__Bunyavirales,f__Hantaviridae,g__Orthohantavirus,s__Prospect_Hill_orthohantavirus
35330,Bluetongue_virus_13,d__Viruses,k__Orthornavirae,p__Duplornaviricota,c__Resentoviricetes,o__Reovirales,f__Reoviridae,g__Orbivirus,s__Bluetongue_virus
11320,Influenza_A_virus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
12075,Swine_vesicular_disease_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_B
150080,Norovirus_isolates,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Caliciviridae,g__Norovirus,s__Norwalk_virus
11053,Dengue_virus_1,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Flavivirus,s__Dengue_virus
371214,Influenza_A_virus_A_chicken_Taiwan_0329_01_H6N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
11045,Rubella_virus_strain_Therien,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Hepelivirales,f__Matonaviridae,g__Rubivirus,s__Rubivirus_rubellae
29271,Dasheen_mosaic_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Stelpaviricetes,o__Patatavirales,f__Potyviridae,g__Potyvirus,s__Dasheen_mosaic_virus
11047,Equine_arteritis_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Arteriviridae,g__Alphaarterivirus,s__Alphaarterivirus_equid
12072,Coxsackievirus_B3,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_B
12115,Foot_and_mouth_disease_virus_strain_A24_Cruzeiro,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Aphthovirus,s__Foot_and_mouth_disease_virus
408870,Dengue_virus_3_Philippines_H87_1956,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Flavivirus,s__Dengue_virus
37128,Potato_mop_top_virus,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Martellivirales,f__Virgaviridae,g__Pomovirus,s__Potato_mop_top_virus
