id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Bean_pod_mottle_virus,31715,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirus,Bean_pod_mottle_virus
s__Human_orthopneumovirus,208893,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human_orthopneumovirus
s__Influenza_A_virus,577543,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Enterovirus_B,82639,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus_B
s__Influenza_A_virus,411157,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Enterovirus_B,12060,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus_B
s__Prospect_Hill_orthohantavirus,1980485,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Prospect_Hill_orthohantavirus
s__Bluetongue_virus,35330,Viruses,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Reoviridae,Orbivirus,Bluetongue_virus
s__Influenza_A_virus,11320,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Enterovirus_B,12075,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus_B
s__Norwalk_virus,150080,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,Norwalk_virus
s__Dengue_virus,11053,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue_virus
s__Influenza_A_virus,371214,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Rubivirus_rubellae,11045,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Matonaviridae,Rubivirus,Rubivirus_rubellae
s__Dasheen_mosaic_virus,29271,Viruses,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,Dasheen_mosaic_virus
s__Alphaarterivirus_equid,11047,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Arteriviridae,Alphaarterivirus,Alphaarterivirus_equid
s__Enterovirus_B,12072,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus_B
s__Foot_and_mouth_disease_virus,12115,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot_and_mouth_disease_virus
s__Dengue_virus,408870,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue_virus
s__Potato_mop_top_virus,37128,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pomovirus,Potato_mop_top_virus
s__Influenza_A_virus,88104,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Watermelon_silver_mottle_orthotospovirus,1933300,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Tospoviridae,Orthotospovirus,Watermelon_silver_mottle_orthotospovirus
s__Andes_orthohantavirus,1980456,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Andes_orthohantavirus
s__Influenza_A_virus,381516,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
