Input Scientific Name,Leaf Node in Tree
Bean_pod_mottle_virus_strain_Kentucky_G7,s__Bean_pod_mottle_virus
Human_respiratory_syncytial_virus_A,s__Human_orthopneumovirus
Influenza_A_virus_A_Xinjiang_1_2006_H5N1,s__Influenza_A_virus
Coxsackievirus_B2,s__Enterovirus_B
Influenza_A_virus_A_Thailand_271_2005_H1N1,s__Influenza_A_virus
Echovirus_E9,s__Enterovirus_B
Prospect_Hill_orthohantavirus,s__Prospect_Hill_orthohantavirus
Bluetongue_virus_13,s__Bluetongue_virus
Influenza_A_virus,s__Influenza_A_virus
Swine_vesicular_disease_virus,s__Enterovirus_B
Norovirus_isolates,s__Norwalk_virus
Dengue_virus_1,s__Dengue_virus
Influenza_A_virus_A_chicken_Taiwan_0329_01_H6N1,s__Influenza_A_virus
Rubella_virus_strain_Therien,s__Rubivirus_rubellae
Dasheen_mosaic_virus,s__Dasheen_mosaic_virus
Equine_arteritis_virus,s__Alphaarterivirus_equid
Coxsackievirus_B3,s__Enterovirus_B
Foot_and_mouth_disease_virus_strain_A24_Cruzeiro,s__Foot_and_mouth_disease_virus
Dengue_virus_3_Philippines_H87_1956,s__Dengue_virus
Potato_mop_top_virus,s__Potato_mop_top_virus
Influenza_A_virus_A_Hong_Kong_483_1997_H5N1,s__Influenza_A_virus
Watermelon_silver_mottle_orthotospovirus,s__Watermelon_silver_mottle_orthotospovirus
Andes_orthohantavirus,s__Andes_orthohantavirus
Influenza_A_virus_A_USSR_90_1977_H1N1,s__Influenza_A_virus
Infectious_bursal_disease_virus,s__Infectious_bursal_disease_virus
Parechovirus_A,s__Parechovirus_A
Bat_SARS_like_coronavirus,s__Severe_acute_respiratory_syndrome_related_coronavirus
Tomato_bushy_stunt_virus_STRAIN_BS_3,s__Tomato_bushy_stunt_virus
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2,s__Influenza_A_virus
Influenza_A_virus_A_England_878_1969_H3N2,s__Influenza_A_virus
Swine_acute_diarrhea_syndrome_coronavirus,s__Swine_acute_diarrhea_syndrome_coronavirus
Hepatitis_C_virus_HCV_KF,s__Hepacivirus_C
African_horse_sickness_virus_4,s__African_horse_sickness_virus
Rabies_lyssavirus,s__Rabies_lyssavirus
Influenza_A_virus_A_Hong_Kong_1131_1998_H1N1,s__Influenza_A_virus
Human_respiratory_syncytial_virus_subgroup_B_strain_18537,s__Human_orthopneumovirus
Saint_Louis_encephalitis_virus,s__Saint_Louis_encephalitis_virus
Zaire_ebolavirus,s__Zaire_ebolavirus
Vesicular_stomatitis_virus,s__Vesicular_stomatitis_virus
Influenza_A_virus_A_Texas_05_2009_H1N1,s__Influenza_A_virus
Human_coronavirus_HKU1_isolate_N5,s__Human_coronavirus_HKU1
Norovirus_Hu_GII_3_3_34_2015_HNZZ_CHN,s__Norwalk_virus
Avian_orthoavulavirus_1,s__Avian_orthoavulavirus_1
Coxsackievirus_B4_strain_E2,s__Enterovirus_B
Hepatitis_C_virus_subtype_3a,s__Hepacivirus_C
Mumps_orthorubulavirus,s__Mumps_orthorubulavirus
Dengue_virus_1_Nauru_West_Pac_1974,s__Dengue_virus
Foot_and_mouth_disease_virus_strain_A10_61,s__Foot_and_mouth_disease_virus
Human_respiratory_syncytial_virus_A2,s__Human_orthopneumovirus
