taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
11691,Human_immunodeficiency_virus_type_1_SF162_ISOLATE,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
11696,HIV_1_M_B_MN,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
194959,Porcine_endogenous_retrovirus_B,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Gammaretrovirus,s__Porcine_type_C_oncovirus
2170197,Guenon_simian_foamy_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Simiispumavirus,s__Guenon_simian_foamy_virus
10408,Hepatitis_B_virus_subtype_adw2,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Orthohepadnavirus,s__Hepatitis_B_virus
489469,Hepatitis_B_virus_ayw_China_Tibet127_2002,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Orthohepadnavirus,s__Hepatitis_B_virus
2170206,Yellow_breasted_capuchin_simian_foamy_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Simiispumavirus,s__Yellow_breasted_capuchin_simian_foamy_virus
10407,Hepatitis_B_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Orthohepadnavirus,s__Hepatitis_B_virus
12639,Duck_hepatitis_B_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Avihepadnavirus,s__Duck_hepatitis_B_virus
11688,Human_immunodeficiency_virus_type_1_JRCSF_ISOLATE,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
1016853,Banana_streak_IM_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Caulimoviridae,g__Badnavirus,s__Banana_streak_IM_virus
61673,Porcine_endogenous_retrovirus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Gammaretrovirus,s__Porcine_type_C_oncovirus
11812,Murine_sarcoma_virus_3611,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Gammaretrovirus,s__Moloney_murine_sarcoma_virus
11674,Feline_immunodeficiency_virus_isolate_Petaluma,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Feline_immunodeficiency_virus
362651,Human_immunodeficiency_virus_type_1_isolate_YU2,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
11678,Human_immunodeficiency_virus_type_1_BH10,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
11901,Bovine_leukemia_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Deltaretrovirus,s__Bovine_leukemia_virus
341946,Woodchuck_hepatitis_virus_2,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Orthohepadnavirus,s__Woodchuck_hepatitis_virus
11908,Human_T_cell_leukemia_virus_type_I,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Deltaretrovirus,s__Primate_T_lymphotropic_virus_1
10430,Woodchuck_hepatitis_virus_1,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Blubervirales,f__Hepadnaviridae,g__Orthohepadnavirus,s__Woodchuck_hepatitis_virus
11909,Human_T_lymphotropic_virus_2,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Deltaretrovirus,s__Primate_T_lymphotropic_virus_2
11864,Avian_leukosis_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Alpharetrovirus,s__Avian_leukosis_virus
