id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Human_immunodeficiency_virus_1,11691,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Human_immunodeficiency_virus_1,11696,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Porcine_type_C_oncovirus,194959,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Porcine_type_C_oncovirus
s__Guenon_simian_foamy_virus,2170197,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Simiispumavirus,Guenon_simian_foamy_virus
s__Hepatitis_B_virus,10408,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis_B_virus
s__Hepatitis_B_virus,489469,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis_B_virus
s__Yellow_breasted_capuchin_simian_foamy_virus,2170206,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Simiispumavirus,Yellow_breasted_capuchin_simian_foamy_virus
s__Hepatitis_B_virus,10407,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis_B_virus
s__Duck_hepatitis_B_virus,12639,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Avihepadnavirus,Duck_hepatitis_B_virus
s__Human_immunodeficiency_virus_1,11688,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Banana_streak_IM_virus,1016853,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,Banana_streak_IM_virus
s__Porcine_type_C_oncovirus,61673,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Porcine_type_C_oncovirus
s__Moloney_murine_sarcoma_virus,11812,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Moloney_murine_sarcoma_virus
s__Feline_immunodeficiency_virus,11674,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Feline_immunodeficiency_virus
s__Human_immunodeficiency_virus_1,362651,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Human_immunodeficiency_virus_1,11678,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Bovine_leukemia_virus,11901,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,Bovine_leukemia_virus
s__Woodchuck_hepatitis_virus,341946,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Woodchuck_hepatitis_virus
s__Primate_T_lymphotropic_virus_1,11908,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,Primate_T_lymphotropic_virus_1
s__Woodchuck_hepatitis_virus,10430,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Woodchuck_hepatitis_virus
s__Primate_T_lymphotropic_virus_2,11909,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,Primate_T_lymphotropic_virus_2
s__Avian_leukosis_virus,11864,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,Avian_leukosis_virus
s__Feline_foamy_virus,53182,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Felispumavirus,Feline_foamy_virus
s__Reticuloendotheliosis_virus,11636,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Reticuloendotheliosis_virus
s__Snyder_Theilen_feline_sarcoma_virus,11780,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Snyder_Theilen_feline_sarcoma_virus
s__Banana_streak_OL_virus,328671,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,Banana_streak_OL_virus
s__Simian_foamy_virus,11963,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Spumavirus,Simian_foamy_virus
s__Macaque_simian_foamy_virus,338478,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Spumavirus,Macaque_simian_foamy_virus
s__Visna_maedi_virus,36374,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Visna_maedi_virus
s__Murine_leukemia_virus,11790,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Murine_leukemia_virus
s__Human_endogenous_retrovirus_K,64382,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Human_endogenous_retrovirus_K__S+,Human_endogenous_retrovirus_K
s__Visna_maedi_virus,12750,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Visna_maedi_virus
s__Human_immunodeficiency_virus_1,11701,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Equine_infectious_anemia_virus,11665,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Equine_infectious_anemia_virus
s__Primate_T_lymphotropic_virus_1,33747,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,Primate_T_lymphotropic_virus_1
s__Human_immunodeficiency_virus_1,11706,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Human_immunodeficiency_virus_1,11698,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Banana_streak_GF_virus,328670,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,Banana_streak_GF_virus
s__Visna_maedi_virus,11743,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Visna_maedi_virus
s__Caprine_arthritis_encephalitis_virus,11662,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Caprine_arthritis_encephalitis_virus
s__Avian_leukosis_virus,1401444,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,Avian_leukosis_virus
