"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Avian_leukosis_virus",11864,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Alpharetrovirus","Avian_leukosis_virus",FALSE,10,2,"Avian leukosis virus(10 peptides)"
"s__Baboon_endogenous_virus",11764,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Baboon_endogenous_virus",FALSE,1,1,"Baboon endogenous virus(1 peptides)"
"s__Banana_streak_CA_virus",1016852,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Badnavirus","Banana_streak_CA_virus",FALSE,3,1,"Banana streak CA virus(3 peptides)"
"s__Banana_streak_GF_virus",328670,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Badnavirus","Banana_streak_GF_virus",FALSE,3,1,"Banana streak GF virus(3 peptides)"
"s__Banana_streak_IM_virus",1016853,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Badnavirus","Banana_streak_IM_virus",FALSE,5,1,"Banana streak IM virus(5 peptides)"
"s__Banana_streak_MY_virus",1476909,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Badnavirus","Banana_streak_MY_virus",FALSE,9,1,"Banana streak MY virus(9 peptides)"
"s__Banana_streak_OL_virus",328671,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Badnavirus","Banana_streak_OL_virus",FALSE,3,1,"Banana streak OL virus(3 peptides)"
"s__Bornean_orangutan_simian_foamy_virus",221703,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Simiispumavirus","Bornean_orangutan_simian_foamy_virus",FALSE,1,1,"Bornean orangutan simian foamy virus(1 peptides)"
"s__Bovine_leukemia_virus",11901,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Deltaretrovirus","Bovine_leukemia_virus",FALSE,51,1,"Bovine leukemia virus(51 peptides)"
"s__Caprine_arthritis_encephalitis_virus",11662,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Caprine_arthritis_encephalitis_virus",TRUE,16,4,"Caprine arthritis encephalitis virus(16 peptides)"
"s__Duck_hepatitis_B_virus",12639,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Avihepadnavirus","Duck_hepatitis_B_virus",FALSE,27,1,"Duck hepatitis B virus(27 peptides)"
"s__Equine_infectious_anemia_virus",11665,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Equine_infectious_anemia_virus",TRUE,4,2,"Equine infectious anemia virus(4 peptides)"
"s__Feline_foamy_virus",53182,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Felispumavirus","Feline_foamy_virus",FALSE,6,1,"Feline foamy virus(6 peptides)"
"s__Feline_immunodeficiency_virus",11674,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Feline_immunodeficiency_virus",TRUE,4,2,"Feline immunodeficiency virus(4 peptides)"
"s__Feline_leukemia_virus",11824,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Feline_leukemia_virus",FALSE,9,1,"Feline leukemia virus(9 peptides)"
"s__Guenon_simian_foamy_virus",2170197,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Simiispumavirus","Guenon_simian_foamy_virus",FALSE,1,1,"Guenon simian foamy virus(1 peptides)"
"s__Hepatitis_B_virus",10408,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus","Hepatitis_B_virus",FALSE,157,4,"Hepatitis B virus(157 peptides)"
"s__Human_endogenous_retrovirus_K",64382,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Human_endogenous_retrovirus_K__S+","Human_endogenous_retrovirus_K",FALSE,19,2,"Human endogenous retrovirus K(19 peptides)"
"s__Human_immunodeficiency_virus_1",11691,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Human_immunodeficiency_virus_1",TRUE,80,9,"Human immunodeficiency virus 1(80 peptides)"
"s__Human_immunodeficiency_virus_2",11709,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Human_immunodeficiency_virus_2",TRUE,1,1,"Human immunodeficiency virus 2(1 peptides)"
"s__Macaque_simian_foamy_virus",338478,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Spumavirus","Macaque_simian_foamy_virus",FALSE,1,1,"Macaque simian foamy virus(1 peptides)"
"s__Mason_Pfizer_monkey_virus",11942,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Betaretrovirus","Mason_Pfizer_monkey_virus",FALSE,1,1,"Mason Pfizer monkey virus(1 peptides)"
"s__Moloney_murine_sarcoma_virus",11812,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Moloney_murine_sarcoma_virus",FALSE,4,1,"Moloney murine sarcoma virus(4 peptides)"
"s__Murine_leukemia_virus",11790,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Murine_leukemia_virus",FALSE,6,2,"Murine leukemia virus(6 peptides)"
"s__Porcine_type_C_oncovirus",194959,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Porcine_type_C_oncovirus",FALSE,3,2,"Porcine type C oncovirus(3 peptides)"
"s__Primate_T_lymphotropic_virus_1",11908,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Deltaretrovirus","Primate_T_lymphotropic_virus_1",FALSE,122,4,"Primate T lymphotropic virus 1(122 peptides)"
"s__Primate_T_lymphotropic_virus_2",11909,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Deltaretrovirus","Primate_T_lymphotropic_virus_2",FALSE,29,1,"Primate T lymphotropic virus 2(29 peptides)"
"s__Reticuloendotheliosis_virus",11636,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Reticuloendotheliosis_virus",FALSE,2,1,"Reticuloendotheliosis virus(2 peptides)"
"s__Simian_foamy_virus",11963,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Spumavirus","Simian_foamy_virus",FALSE,4,2,"Simian foamy virus(4 peptides)"
"s__Snyder_Theilen_feline_sarcoma_virus",11780,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Snyder_Theilen_feline_sarcoma_virus",FALSE,1,1,"Snyder Theilen feline sarcoma virus(1 peptides)"
"s__Spider_monkey_simian_foamy_virus",2170200,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Simiispumavirus","Spider_monkey_simian_foamy_virus",FALSE,1,1,"Spider monkey simian foamy virus(1 peptides)"
"s__Squirrel_monkey_simian_foamy_virus",2170201,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Simiispumavirus","Squirrel_monkey_simian_foamy_virus",FALSE,1,1,"Squirrel monkey simian foamy virus(1 peptides)"
"s__Visna_maedi_virus",36374,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Lentivirus","Visna_maedi_virus",TRUE,6,4,"Visna maedi virus(6 peptides)"
"s__Woodchuck_hepatitis_virus",341946,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus","Woodchuck_hepatitis_virus",FALSE,6,3,"Woodchuck hepatitis virus(6 peptides)"
"s__Yellow_breasted_capuchin_simian_foamy_virus",2170206,"Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Simiispumavirus","Yellow_breasted_capuchin_simian_foamy_virus",FALSE,1,1,"Yellow breasted capuchin simian foamy virus(1 peptides)"
