Input Scientific Name,Leaf Node in Tree
Human_immunodeficiency_virus_type_1_SF162_ISOLATE,s__Human_immunodeficiency_virus_1
HIV_1_M_B_MN,s__Human_immunodeficiency_virus_1
Porcine_endogenous_retrovirus_B,s__Porcine_type_C_oncovirus
Guenon_simian_foamy_virus,s__Guenon_simian_foamy_virus
Hepatitis_B_virus_subtype_adw2,s__Hepatitis_B_virus
Hepatitis_B_virus_ayw_China_Tibet127_2002,s__Hepatitis_B_virus
Yellow_breasted_capuchin_simian_foamy_virus,s__Yellow_breasted_capuchin_simian_foamy_virus
Hepatitis_B_virus,s__Hepatitis_B_virus
Duck_hepatitis_B_virus,s__Duck_hepatitis_B_virus
Human_immunodeficiency_virus_type_1_JRCSF_ISOLATE,s__Human_immunodeficiency_virus_1
Banana_streak_IM_virus,s__Banana_streak_IM_virus
Porcine_endogenous_retrovirus,s__Porcine_type_C_oncovirus
Murine_sarcoma_virus_3611,s__Moloney_murine_sarcoma_virus
Feline_immunodeficiency_virus_isolate_Petaluma,s__Feline_immunodeficiency_virus
Human_immunodeficiency_virus_type_1_isolate_YU2,s__Human_immunodeficiency_virus_1
Human_immunodeficiency_virus_type_1_BH10,s__Human_immunodeficiency_virus_1
Bovine_leukemia_virus,s__Bovine_leukemia_virus
Woodchuck_hepatitis_virus_2,s__Woodchuck_hepatitis_virus
Human_T_cell_leukemia_virus_type_I,s__Primate_T_lymphotropic_virus_1
Woodchuck_hepatitis_virus_1,s__Woodchuck_hepatitis_virus
Human_T_lymphotropic_virus_2,s__Primate_T_lymphotropic_virus_2
Avian_leukosis_virus,s__Avian_leukosis_virus
Feline_foamy_virus,s__Feline_foamy_virus
Reticuloendotheliosis_virus,s__Reticuloendotheliosis_virus
Snyder_Theilen_feline_sarcoma_virus,s__Snyder_Theilen_feline_sarcoma_virus
Banana_streak_OL_virus,s__Banana_streak_OL_virus
Human_spumaretrovirus,s__Simian_foamy_virus
Macaque_simian_foamy_virus,s__Macaque_simian_foamy_virus
Visna_maedi_virus_EV1_KV1772,s__Visna_maedi_virus
AKT8_murine_leukemia_virus,s__Murine_leukemia_virus
Human_Endogenous_Retrovirus_IDDMK1_2_22,s__Human_endogenous_retrovirus_K
Visna_maedi_virus_EV1,s__Visna_maedi_virus
Human_immunodeficiency_virus_type_1_RF_HAT_ISOLATE,s__Human_immunodeficiency_virus_1
Equine_infectious_anemia_virus,s__Equine_infectious_anemia_virus
Simian_T_lymphotropic_virus_1,s__Primate_T_lymphotropic_virus_1
HIV_1_M_B_HXB2R,s__Human_immunodeficiency_virus_1
Human_immunodeficiency_virus_type_1_NEW_YORK_5_ISOLATE,s__Human_immunodeficiency_virus_1
Banana_streak_GF_virus,s__Banana_streak_GF_virus
Visna_lentivirus_strain_1514_clone_LV1_1KS1,s__Visna_maedi_virus
Caprine_arthritis_encephalitis_virus_G63,s__Caprine_arthritis_encephalitis_virus
Avian_leukosis_virus_ev_J,s__Avian_leukosis_virus
Small_ruminant_lentivirus,s__Caprine_arthritis_encephalitis_virus
Caprine_arthritis_encephalitis_virus_strain_Cork,s__Caprine_arthritis_encephalitis_virus
Simian_foamy_virus_Pongo_pygmaeus_pygmaeus,s__Bornean_orangutan_simian_foamy_virus
Human_immunodeficiency_virus_2,s__Human_immunodeficiency_virus_2
Human_T_cell_lymphotrophic_virus_type_1_Caribbean_isolate,s__Primate_T_lymphotropic_virus_1
Human_endogenous_retrovirus_K,s__Human_endogenous_retrovirus_K
Simian_foamy_virus,s__Simian_foamy_virus
Friend_murine_leukemia_virus,s__Murine_leukemia_virus
Gardner_Arnstein_feline_leukemia_oncovirus_B,s__Feline_leukemia_virus
Simian_retrovirus_1,s__Mason_Pfizer_monkey_virus
Banana_streak_CA_virus,s__Banana_streak_CA_virus
Spider_monkey_simian_foamy_virus,s__Spider_monkey_simian_foamy_virus
Equine_infectious_anemia_virus_STRAIN_WSU5,s__Equine_infectious_anemia_virus
Caprine_arthritis_encephalitis_virus,s__Caprine_arthritis_encephalitis_virus
Baboon_endogenous_virus_strain_M7,s__Baboon_endogenous_virus
Visna_maedi_virus,s__Visna_maedi_virus
Hepatitis_B_virus_adw_991,s__Hepatitis_B_virus
Human_T_cell_lymphotrophic_virus_type_1_strain_ATK,s__Primate_T_lymphotropic_virus_1
Banana_streak_MY_virus,s__Banana_streak_MY_virus
Woodchuck_hepatitis_virus,s__Woodchuck_hepatitis_virus
Squirrel_monkey_simian_foamy_virus,s__Squirrel_monkey_simian_foamy_virus
Human_immunodeficiency_virus_1,s__Human_immunodeficiency_virus_1
Feline_immunodeficiency_virus_isolate_wo,s__Feline_immunodeficiency_virus
