taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
6207,Taenia_crassiceps,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Taenia,s__Taenia_crassiceps
46835,Fasciola_gigantica,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Plagiorchiida,f__Fasciolidae,g__Fasciola,s__Fasciola_gigantica
79327,Schmidtea_mediterranea,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Rhabditophora,o__Tricladida,f__Dugesiidae,g__Schmidtea,s__Schmidtea_mediterranea
6183,Schistosoma_mansoni,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Strigeidida,f__Schistosomatidae,g__Schistosoma,s__Schistosoma_mansoni
6182,Schistosoma_japonicum,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Strigeidida,f__Schistosomatidae,g__Schistosoma,s__Schistosoma_japonicum
6211,Echinococcus_multilocularis,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Echinococcus,s__Echinococcus_multilocularis
79923,Clonorchis_sinensis,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Opisthorchiida,f__Opisthorchiidae,g__Clonorchis,s__Clonorchis_sinensis
6198,Opisthorchis_viverrini,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Opisthorchiida,f__Opisthorchiidae,g__Opisthorchis,s__Opisthorchis_viverrini
6192,Fasciola_hepatica,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Plagiorchiida,f__Fasciolidae,g__Fasciola,s__Fasciola_hepatica
6203,Taenia_ovis,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Taenia,s__Taenia_ovis
6206,Taenia_saginata,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Taenia,s__Taenia_saginata
6184,Schistosoma_bovis,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Strigeidida,f__Schistosomatidae,g__Schistosoma,s__Schistosoma_bovis
6204,Taenia_solium,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Taenia,s__Taenia_solium
6210,Echinococcus_granulosus,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Echinococcus,s__Echinococcus_granulosus
