id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Taenia_crassiceps,6207,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia_crassiceps
s__Fasciola_gigantica,46835,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Plagiorchiida,Fasciolidae,Fasciola,Fasciola_gigantica
s__Schmidtea_mediterranea,79327,Eukaryota,Metazoa,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Schmidtea,Schmidtea_mediterranea
s__Schistosoma_mansoni,6183,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Schistosoma,Schistosoma_mansoni
s__Schistosoma_japonicum,6182,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Schistosoma,Schistosoma_japonicum
s__Echinococcus_multilocularis,6211,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus_multilocularis
s__Clonorchis_sinensis,79923,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Opisthorchiida,Opisthorchiidae,Clonorchis,Clonorchis_sinensis
s__Opisthorchis_viverrini,6198,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Opisthorchiida,Opisthorchiidae,Opisthorchis,Opisthorchis_viverrini
s__Fasciola_hepatica,6192,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Plagiorchiida,Fasciolidae,Fasciola,Fasciola_hepatica
s__Taenia_ovis,6203,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia_ovis
s__Taenia_saginata,6206,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia_saginata
s__Schistosoma_bovis,6184,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Schistosoma,Schistosoma_bovis
s__Taenia_solium,6204,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia_solium
s__Echinococcus_granulosus,6210,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus_granulosus
