"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Clonorchis_sinensis",79923,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Opisthorchiida","Opisthorchiidae","Clonorchis","Clonorchis_sinensis",FALSE,1,1,"Clonorchis sinensis(1 peptides)"
"s__Echinococcus_granulosus",6210,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Echinococcus","Echinococcus_granulosus",FALSE,20,1,"Echinococcus granulosus(20 peptides)"
"s__Echinococcus_multilocularis",6211,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Echinococcus","Echinococcus_multilocularis",FALSE,12,1,"Echinococcus multilocularis(12 peptides)"
"s__Fasciola_gigantica",46835,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Fasciolidae","Fasciola","Fasciola_gigantica",FALSE,4,1,"Fasciola gigantica(4 peptides)"
"s__Fasciola_hepatica",6192,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Fasciolidae","Fasciola","Fasciola_hepatica",FALSE,82,1,"Fasciola hepatica(82 peptides)"
"s__Opisthorchis_viverrini",6198,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Opisthorchiida","Opisthorchiidae","Opisthorchis","Opisthorchis_viverrini",FALSE,3,1,"Opisthorchis viverrini(3 peptides)"
"s__Schistosoma_bovis",6184,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Strigeidida","Schistosomatidae","Schistosoma","Schistosoma_bovis",FALSE,2,1,"Schistosoma bovis(2 peptides)"
"s__Schistosoma_japonicum",6182,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Strigeidida","Schistosomatidae","Schistosoma","Schistosoma_japonicum",FALSE,119,1,"Schistosoma japonicum(119 peptides)"
"s__Schistosoma_mansoni",6183,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Strigeidida","Schistosomatidae","Schistosoma","Schistosoma_mansoni",TRUE,416,1,"Schistosoma mansoni(416 peptides)"
"s__Schmidtea_mediterranea",79327,"Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Tricladida","Dugesiidae","Schmidtea","Schmidtea_mediterranea",FALSE,1,1,"Schmidtea mediterranea(1 peptides)"
"s__Taenia_crassiceps",6207,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia_crassiceps",FALSE,5,1,"Taenia crassiceps(5 peptides)"
"s__Taenia_ovis",6203,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia_ovis",FALSE,4,1,"Taenia ovis(4 peptides)"
"s__Taenia_saginata",6206,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia_saginata",FALSE,13,1,"Taenia saginata(13 peptides)"
"s__Taenia_solium",6204,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia_solium",FALSE,13,1,"Taenia solium(13 peptides)"
