Input Scientific Name,Leaf Node in Tree
Taenia_crassiceps,s__Taenia_crassiceps
Fasciola_gigantica,s__Fasciola_gigantica
Schmidtea_mediterranea,s__Schmidtea_mediterranea
Schistosoma_mansoni,s__Schistosoma_mansoni
Schistosoma_japonicum,s__Schistosoma_japonicum
Echinococcus_multilocularis,s__Echinococcus_multilocularis
Clonorchis_sinensis,s__Clonorchis_sinensis
Opisthorchis_viverrini,s__Opisthorchis_viverrini
Fasciola_hepatica,s__Fasciola_hepatica
Taenia_ovis,s__Taenia_ovis
Taenia_saginata,s__Taenia_saginata
Schistosoma_bovis,s__Schistosoma_bovis
Taenia_solium,s__Taenia_solium
Echinococcus_granulosus,s__Echinococcus_granulosus
