taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
123734,Hypoderma_bovis,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Diptera,f__Oestridae,g__Hypoderma,s__Hypoderma_bovis
360549,Themiste_hennahi,d__Eukaryota,k__Metazoa,p__Sipuncula,c__Golfingiida__O+,o__Golfingiida,f__Themistidae,g__Themiste,s__Themiste_hennahi
36936,Lepidoglyphus_destructor,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,f__Glycyphagidae,g__Lepidoglyphus,s__Lepidoglyphus_destructor
7154,Chironomus_thummi,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Diptera,f__Chironomidae,g__Chironomus,s__Chironomus_thummi
30215,Vespula_vidua,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Vespidae,g__Vespula,s__Vespula_vidua
6210,Echinococcus_granulosus,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Echinococcus,s__Echinococcus_granulosus
334426,Angiostrongylus_costaricensis,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Strongylida,f__Angiostrongylidae,g__Angiostrongylus,s__Angiostrongylus_costaricensis
95602,Eriocheir_sinensis,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Malacostraca,o__Decapoda,f__Varunidae,g__Eriocheir,s__Eriocheir_sinensis
29159,Crassostrea_gigas,d__Eukaryota,k__Metazoa,p__Mollusca,c__Bivalvia,o__Ostreida,f__Ostreidae,g__Crassostrea,s__Crassostrea_gigas
6858,Androctonus_australis,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Scorpiones,f__Buthidae,g__Androctonus,s__Androctonus_australis
6493,Conus_striatus,d__Eukaryota,k__Metazoa,p__Mollusca,c__Gastropoda,o__Neogastropoda,f__Conidae,g__Conus,s__Conus_striatus
44386,Haemaphysalis_longicornis,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Ixodida,f__Ixodidae,g__Haemaphysalis,s__Haemaphysalis_longicornis
60189,Rhipicephalus_decoloratus,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Ixodida,f__Ixodidae,g__Rhipicephalus,s__Rhipicephalus_decoloratus
6269,Anisakis_simplex,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Rhabditida,f__Anisakidae,g__Anisakis,s__Anisakis_simplex
6313,Angiostrongylus_cantonensis,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Strongylida,f__Angiostrongylidae,g__Angiostrongylus,s__Angiostrongylus_cantonensis
129788,Ruditapes_philippinarum,d__Eukaryota,k__Metazoa,p__Mollusca,c__Bivalvia,o__Venerida,f__Veneridae,g__Ruditapes,s__Ruditapes_philippinarum
34632,Rhipicephalus_sanguineus,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Ixodida,f__Ixodidae,g__Rhipicephalus,s__Rhipicephalus_sanguineus
6938,Ornithodoros_moubata,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Ixodida,f__Argasidae,g__Ornithodoros,s__Ornithodoros_moubata
