id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Hypoderma_bovis,123734,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Oestridae,Hypoderma,Hypoderma_bovis
s__Themiste_hennahi,360549,Eukaryota,Metazoa,Sipuncula,Golfingiida__O+,Golfingiida,Themistidae,Themiste,Themiste_hennahi
s__Lepidoglyphus_destructor,36936,Eukaryota,Metazoa,Arthropoda,Arachnida,Sarcoptiformes,Glycyphagidae,Lepidoglyphus,Lepidoglyphus_destructor
s__Chironomus_thummi,7154,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus_thummi
s__Vespula_vidua,30215,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula_vidua
s__Echinococcus_granulosus,6210,Eukaryota,Metazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus_granulosus
s__Angiostrongylus_costaricensis,334426,Eukaryota,Metazoa,Nematoda,Chromadorea,Strongylida,Angiostrongylidae,Angiostrongylus,Angiostrongylus_costaricensis
s__Eriocheir_sinensis,95602,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Eriocheir,Eriocheir_sinensis
s__Crassostrea_gigas,29159,Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Crassostrea_gigas
s__Androctonus_australis,6858,Eukaryota,Metazoa,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus_australis
s__Conus_striatus,6493,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus_striatus
s__Haemaphysalis_longicornis,44386,Eukaryota,Metazoa,Arthropoda,Arachnida,Ixodida,Ixodidae,Haemaphysalis,Haemaphysalis_longicornis
s__Rhipicephalus_decoloratus,60189,Eukaryota,Metazoa,Arthropoda,Arachnida,Ixodida,Ixodidae,Rhipicephalus,Rhipicephalus_decoloratus
s__Anisakis_simplex,6269,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Anisakidae,Anisakis,Anisakis_simplex
s__Angiostrongylus_cantonensis,6313,Eukaryota,Metazoa,Nematoda,Chromadorea,Strongylida,Angiostrongylidae,Angiostrongylus,Angiostrongylus_cantonensis
s__Ruditapes_philippinarum,129788,Eukaryota,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes_philippinarum
s__Rhipicephalus_sanguineus,34632,Eukaryota,Metazoa,Arthropoda,Arachnida,Ixodida,Ixodidae,Rhipicephalus,Rhipicephalus_sanguineus
s__Ornithodoros_moubata,6938,Eukaryota,Metazoa,Arthropoda,Arachnida,Ixodida,Argasidae,Ornithodoros,Ornithodoros_moubata
s__Vespula_maculifrons,7453,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula_maculifrons
s__Strongyloides_stercoralis,6248,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Strongyloididae,Strongyloides,Strongyloides_stercoralis
s__Tachypleus_tridentatus,6853,Eukaryota,Metazoa,Arthropoda,Merostomata,Xiphosura,Limulidae,Tachypleus,Tachypleus_tridentatus
s__Trichuris_trichiura,36087,Eukaryota,Metazoa,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris,Trichuris_trichiura
s__Loxosceles_intermedia,58218,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles_intermedia
s__Androctonus_australis,70175,Eukaryota,Metazoa,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus_australis
s__Metapenaeus_ensis,32278,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeus,Metapenaeus_ensis
s__Fasciola_hepatica,6192,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Plagiorchiida,Fasciolidae,Fasciola,Fasciola_hepatica
s__Locusta_migratoria,7004,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta,Locusta_migratoria
s__Penaeus_monodon,6687,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,Penaeus_monodon
s__Schistosoma_mansoni,6183,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Schistosoma,Schistosoma_mansoni
