"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Aedes_albopictus",7160,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes_albopictus",FALSE,1,1,"Aedes albopictus(1 peptides)"
"s__Alectryonella_plicatula",74437,"Eukaryota","Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae","Alectryonella","Alectryonella_plicatula",FALSE,9,1,"Alectryonella plicatula(9 peptides)"
"s__Amblyomma_variegatum",34610,"Eukaryota","Metazoa","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma","Amblyomma_variegatum",FALSE,1,1,"Amblyomma variegatum(1 peptides)"
"s__Ancylostoma_caninum",29170,"Eukaryota","Metazoa","Nematoda","Chromadorea","Strongylida","Ancylostomatidae","Ancylostoma","Ancylostoma_caninum",FALSE,1,1,"Ancylostoma caninum(1 peptides)"
"s__Ancylostoma_duodenale",51022,"Eukaryota","Metazoa","Nematoda","Chromadorea","Strongylida","Ancylostomatidae","Ancylostoma","Ancylostoma_duodenale",FALSE,8,1,"Ancylostoma duodenale(8 peptides)"
"s__Androctonus_australis",6858,"Eukaryota","Metazoa","Arthropoda","Arachnida","Scorpiones","Buthidae","Androctonus","Androctonus_australis",FALSE,7,2,"Androctonus australis(7 peptides)"
"s__Androctonus_mauritanicus",6860,"Eukaryota","Metazoa","Arthropoda","Arachnida","Scorpiones","Buthidae","Androctonus","Androctonus_mauritanicus",FALSE,1,1,"Androctonus mauritanicus(1 peptides)"
"s__Angiostrongylus_cantonensis",6313,"Eukaryota","Metazoa","Nematoda","Chromadorea","Strongylida","Angiostrongylidae","Angiostrongylus","Angiostrongylus_cantonensis",FALSE,14,1,"Angiostrongylus cantonensis(14 peptides)"
"s__Angiostrongylus_costaricensis",334426,"Eukaryota","Metazoa","Nematoda","Chromadorea","Strongylida","Angiostrongylidae","Angiostrongylus","Angiostrongylus_costaricensis",FALSE,1,1,"Angiostrongylus costaricensis(1 peptides)"
"s__Anisakis_simplex",6269,"Eukaryota","Metazoa","Nematoda","Chromadorea","Rhabditida","Anisakidae","Anisakis","Anisakis_simplex",FALSE,10,1,"Anisakis simplex(10 peptides)"
"s__Anopheles_gambiae",180454,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","Anopheles_gambiae",FALSE,6,1,"Anopheles gambiae(6 peptides)"
"s__Apis_mellifera",7460,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis_mellifera",FALSE,4,1,"Apis mellifera(4 peptides)"
"s__Artemia_franciscana",6661,"Eukaryota","Metazoa","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia","Artemia_franciscana",FALSE,1,1,"Artemia franciscana(1 peptides)"
"s__Blattella_germanica",6973,"Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Ectobiidae","Blattella","Blattella_germanica",FALSE,9,1,"Blattella germanica(9 peptides)"
"s__Blomia_tropicalis",40697,"Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Echimyopodidae","Blomia","Blomia_tropicalis",FALSE,3,1,"Blomia tropicalis(3 peptides)"
"s__Brugia_malayi",6279,"Eukaryota","Metazoa","Nematoda","Chromadorea","Rhabditida","Onchocercidae","Brugia","Brugia_malayi",FALSE,9,1,"Brugia malayi(9 peptides)"
"s__Caenorhabditis_briggsae",6238,"Eukaryota","Metazoa","Nematoda","Chromadorea","Rhabditida","Rhabditidae","Caenorhabditis","Caenorhabditis_briggsae",FALSE,2,1,"Caenorhabditis briggsae(2 peptides)"
