Input Scientific Name,Leaf Node in Tree
Hypoderma_bovis,s__Hypoderma_bovis
Themiste_hennahi,s__Themiste_hennahi
Lepidoglyphus_destructor,s__Lepidoglyphus_destructor
Chironomus_thummi,s__Chironomus_thummi
Vespula_vidua,s__Vespula_vidua
Echinococcus_granulosus,s__Echinococcus_granulosus
Angiostrongylus_costaricensis,s__Angiostrongylus_costaricensis
Eriocheir_sinensis,s__Eriocheir_sinensis
Crassostrea_gigas,s__Crassostrea_gigas
Androctonus_australis,s__Androctonus_australis
Conus_striatus,s__Conus_striatus
Haemaphysalis_longicornis,s__Haemaphysalis_longicornis
Rhipicephalus_decoloratus,s__Rhipicephalus_decoloratus
Anisakis_simplex,s__Anisakis_simplex
Angiostrongylus_cantonensis,s__Angiostrongylus_cantonensis
Ruditapes_philippinarum,s__Ruditapes_philippinarum
Rhipicephalus_sanguineus,s__Rhipicephalus_sanguineus
Ornithodoros_moubata,s__Ornithodoros_moubata
Vespula_maculifrons,s__Vespula_maculifrons
Strongyloides_stercoralis,s__Strongyloides_stercoralis
Tachypleus_tridentatus,s__Tachypleus_tridentatus
Trichuris_trichiura,s__Trichuris_trichiura
Loxosceles_intermedia,s__Loxosceles_intermedia
Androctonus_australis_hector,s__Androctonus_australis
Metapenaeus_ensis,s__Metapenaeus_ensis
Fasciola_hepatica,s__Fasciola_hepatica
Locusta_migratoria,s__Locusta_migratoria
Penaeus_monodon,s__Penaeus_monodon
Schistosoma_mansoni,s__Schistosoma_mansoni
Anopheles_gambiae_str_PEST,s__Anopheles_gambiae
Centruroides_noxius,s__Centruroides_noxius
Penaeus_aztecus,s__Penaeus_aztecus
Opisthorchis_viverrini,s__Opisthorchis_viverrini
Androctonus_mauritanicus_mauritanicus,s__Androctonus_mauritanicus
Blomia_tropicalis,s__Blomia_tropicalis
Scylla_paramamosain,s__Scylla_paramamosain
Dermatophagoides_farinae,s__Dermatophagoides_farinae
Tityus_serrulatus,s__Tityus_serrulatus
Turbo_cornutus,s__Turbo_cornutus
Mimachlamys_nobilis,s__Mimachlamys_nobilis
Amblyomma_variegatum,s__Amblyomma_variegatum
Necator_americanus,s__Necator_americanus
Alectryonella_plicatula,s__Alectryonella_plicatula
Taenia_ovis,s__Taenia_ovis
Conus_tulipa,s__Conus_tulipa
Caenorhabditis_briggsae,s__Caenorhabditis_briggsae
Vespula_vulgaris,s__Vespula_vulgaris
Schistosoma_bovis,s__Schistosoma_bovis
Glossina_morsitans_morsitans,s__Glossina_morsitans
Fasciola_gigantica,s__Fasciola_gigantica
Schmidtea_mediterranea,s__Schmidtea_mediterranea
Drosophila_pseudoobscura_pseudoobscura,s__Drosophila_pseudoobscura
Ixodes_scapularis,s__Ixodes_scapularis
Scylla_serrata,s__Scylla_serrata
Ancylostoma_duodenale,s__Ancylostoma_duodenale
Procambarus_clarkii,s__Procambarus_clarkii
Dermatophagoides_pteronyssinus,s__Dermatophagoides_pteronyssinus
Aedes_albopictus,s__Aedes_albopictus
Heligmosomoides_polygyrus,s__Heligmosomoides_polygyrus
Penaeus_vannamei,s__Penaeus_vannamei
Chironomus_thummi_thummi,s__Chironomus_thummi
Wuchereria_bancrofti,s__Wuchereria_bancrofti
Clonorchis_sinensis,s__Clonorchis_sinensis
Blattella_germanica,s__Blattella_germanica
Periplaneta_americana,s__Periplaneta_americana
Drosophila_persimilis,s__Drosophila_persimilis
Brugia_malayi,s__Brugia_malayi
Galleria_mellonella,s__Galleria_mellonella
Ornithodoros_erraticus,s__Ornithodoros_erraticus
Pediculus_humanus_corporis,s__Pediculus_humanus
Schistosoma_japonicum,s__Schistosoma_japonicum
Ancylostoma_caninum,s__Ancylostoma_caninum
Onchocerca_volvulus,s__Onchocerca_volvulus
Trichinella_spiralis,s__Trichinella_spiralis
Taenia_saginata,s__Taenia_saginata
Rhipicephalus_appendiculatus,s__Rhipicephalus_appendiculatus
Echinococcus_multilocularis,s__Echinococcus_multilocularis
Vespa_basalis,s__Vespa_basalis
Conus_geographus,s__Conus_geographus
Conus_magus,s__Conus_magus
Dolichovespula_maculata,s__Dolichovespula_maculata
Rhipicephalus_microplus,s__Rhipicephalus_microplus
Taenia_solium,s__Taenia_solium
Loxosceles_laeta,s__Loxosceles_laeta
Apis_mellifera,s__Apis_mellifera
Loxosceles_gaucho,s__Loxosceles_gaucho
Artemia_franciscana,s__Artemia_franciscana
Taenia_crassiceps,s__Taenia_crassiceps
Caenorhabditis_elegans,s__Caenorhabditis_elegans
Crassostrea_angulata,s__Crassostrea_angulata
Drosophila_melanogaster,s__Drosophila_melanogaster
