"Info_organism_id","N"
"1006581",1
"1010838",2
"1022",1
"102617",2
"1045775",1
"1050221",1
"107819",20
"108",1
"1081927",9
"1091045",6
"1091501",1
"1112244",2
"1112254",12
"1112269",1
"1115815",2
"1115822",1
"1115825",7
"1117322",1
"1138874",1
"115711",1
"115713",62
"1172206",1
"1193576",1
"119602",10
"1198676",5
"1214225",1
"122355",1
"122587",1
"1254",1
"1268303",1
"1270",1
"1280",46
"1292",1
"1292392",5
"1299",2
"1302858",4
"1303",9
"1307",12
"1309",48
"1310",7
"1311",10
"1313",121
"1314",298
"1317",2
"1320",6
"1334",3
"1336",4
"1337393",1
"1338035",2
"1347340",4
"1349",10
"1352357",1
"139",39
"1390",11
"1391998",1
"1392",40
"1396",1
"1405296",3
"1422",1
"1423892",2
"1427371",4
"1428",6
"1457141",1
"1457153",2
"1458279",1
"1463165",1
"1491",84
"1496",54
"1502",27
"1513",3
"155864",2
"1585",1
"159449",1
"160",7
"160490",20
"161",5
"1613",1
"1639",4
"1661",2
"169963",11
"171101",1
"1717",20
"1719",5
"173",8
"1764",4
"1765",9
"1768",5
"1769",21
"1770",11
"1773",243
"177416",8
"1778",1
"1783",2
"182082",7
"189518",1
"191218",7
"192222",16
"194",4
"195099",10
"196",3
"197",50
"199310",1
"199738",2
"2",1
"203192",1
"205920",9
"208435",2
"208964",6
"210",63
"2100",1
"210007",13
"2116544",1
"211882",2
"212042",5
"212717",10
"214092",22
"216597",2
"218496",1
"218497",11
"220341",3
"224308",1
"224326",36
"224914",2
"226185",1
"227377",9
"227941",2
"231454",1
"233413",25
"235279",3
"242231",17
"242619",2
"243161",8
"243273",8
"243276",31
"243277",5
"244366",1
"257313",21
"262316",38
"262698",2
"262722",1
"264202",3
"267212",1
"267671",10
"269484",1
"269800",1
"272560",7
"272561",26
"272620",19
"272626",1
"272631",29
"272633",1
"272634",25
"2730405",1
"2736",1
"280240",1
"28172",1
"28227",12
"282458",10
"283166",1
"28450",7
"287",18
"288705",3
"28903",11
"29320",2
"29339",2
"29355",1
"29459",6
"29507",1
"29519",3
"295358",102
"297245",1
"298",1
"300267",1
"301447",1
"301449",9
"302409",1
"303",1
"315277",3
"316",1
"316401",1
"32019",3
"320372",8
"320373",1
"320483",5
"331635",7
"333849",3
"336407",1
"33959",1
"342614",1
"345076",3
"347257",3
"350703",2
"357244",2
"357348",3
"360116",1
"364106",2
"370554",2
"371601",1
"373153",4
"374833",2
"374932",2
"375177",7
"376469",1
"376619",4
"392021",1
"393115",5
"393305",2
"395019",1
"400667",1
"401614",1
"40323",1
"405955",1
"406560",1
"406984",1
"40834",10
"410072",1
"410289",4
"413502",1
"418136",1
"419947",1
"424717",4
"426430",4
"431947",12
"43767",15
"439184",1
"439855",3
"441771",2
"441952",2
"44276",2
"443149",8
"445983",1
"445985",1
"451516",1
"455434",1
"456482",1
"469008",1
"469009",1
"470",13
"471876",1
"47466",13
"480",15
"485",16
"486410",1
"487",28
"487521",1
"491",1
"498739",1
"511145",8
"515617",1
"520",95
"520140",4
"520141",14
"521006",2
"521009",1
"525279",2
"525281",4
"527020",1
"529507",1
"535026",1
"537457",1
"543",2
"548470",6
"548473",3
"550672",3
"553583",4
"554",1
"556",1
"561275",1
"561522",21
"562",98
"562017",3
"571800",1
"573",20
"57372",3
"57678",10
"580047",10
"584",2
"585034",1
"604162",7
"611",9
"619693",1
"623",8
"624",9
"630",3
"632",10
"634464",1
"644",9
"645",24
"645463",20
"652616",11
"656419",1
"662",1
"666",13
"670",1
"672",1
"672161",5
"67351",1
"674",2
"675513",2
"71421",2
"722438",2
"724",5
"72556",1
"727",26
"738",2
"747",1
"754503",1
"759363",3
"75985",12
"766147",1
"770",5
"777",6
"784",19
"813",175
"81475",1
"817",3
"820",1
"83332",321
"83333",12
"83554",24
"83555",26
"83556",12
"83557",6
"83558",47
"83559",19
"83560",22
"837",76
"85698",1
"857571",3
"85962",17
"85991",84
"866344",6
"882102",1
"89586",1
"90370",4
"90371",4
"909420",1
"93061",3
"93062",16
"942513",2
"944",1
"945",8
"947",1
"948",21
"95486",1
"955",1
"992121",1
"99287",5
NA,54
