Input Scientific Name,Leaf Node in Tree
Bordetella_pertussis,s__Bordetella_pertussis
Campylobacter_fetus_subsp_fetus,s__Campylobacter_fetus
Escherichia_coli_IAI1,s__Escherichia_coli
Escherichia_coli_CFT073,s__Escherichia_coli
Vibrio_vulnificus,s__Vibrio_vulnificus
Escherichia_coli_K_12,s__Escherichia_coli
Pseudomonas_aeruginosa,s__Pseudomonas_aeruginosa
Neisseria_gonorrhoeae,s__Neisseria_gonorrhoeae
Aeromonas_hydrophila,s__Aeromonas_hydrophila
Burkholderia_pseudomallei_K96243,s__Burkholderia_pseudomallei
Vibrio_metschnikovii,s__Vibrio_metschnikovii
Anaplasma_phagocytophilum_str_HZ,s__Anaplasma_phagocytophilum
Glaesserella_parasuis,s__Glaesserella_parasuis
Helicobacter_pylori_SS1,s__Helicobacter_pylori
Ehrlichia_ewingii,s__Ehrlichia_ewingii
Yersinia_pestis_CO92,s__Yersinia_pestis
Acidocella_sp_MX_AZ02,s__Acidocella_sp_MX_AZ02
Francisella_tularensis_subsp_holarctica_LVS,s__Francisella_tularensis
Klebsiella_pneumoniae,s__Klebsiella_pneumoniae
Ehrlichia_chaffeensis,s__Ehrlichia_chaffeensis
Proteus_mirabilis,s__Proteus_mirabilis
Salmonella_enterica_subsp_enterica_serovar_Heidelberg,s__Salmonella_enterica
Burkholderia_pseudomallei,s__Burkholderia_pseudomallei
Helicobacter_pylori_26695,s__Helicobacter_pylori
Helicobacter_pylori_Hp_M5,s__Helicobacter_pylori
Vibrio_parahaemolyticus,s__Vibrio_parahaemolyticus
Coxiella_burnetii,s__Coxiella_burnetii
Salmonella_enterica_subsp_enterica_serovar_Typhi,s__Salmonella_enterica
Cronobacter_turicensis,s__Cronobacter_turicensis
Neisseria_meningitidis_NMB,s__Neisseria_meningitidis
Candidatus_Neoehrlichia_mikurensis,s__Candidatus_Neoehrlichia_mikurensis
Moraxella_catarrhalis,s__Moraxella_catarrhalis
Achromobacter_xylosoxidans,s__Achromobacter_xylosoxidans
Glaesserella_parasuis_str_Nagasaki,s__Glaesserella_parasuis
Neisseria_meningitidis_serogroup_B,s__Neisseria_meningitidis
Pseudomonas_aeruginosa_PAO1,s__Pseudomonas_aeruginosa
Ehrlichia_chaffeensis_str_Arkansas,s__Ehrlichia_chaffeensis
Brucella_melitensis,s__Brucella_melitensis
Salmonella_enterica_subsp_enterica_serovar_Typhimurium,s__Salmonella_enterica
Shigella_sonnei,s__Shigella_sonnei
Shigella_flexneri_K_227,s__Shigella_flexneri
Neisseria_meningitidis,s__Neisseria_meningitidis
Anaplasma_marginale_str_Florida,s__Anaplasma_marginale
Helicobacter_hepaticus_ATCC_51449,s__Helicobacter_hepaticus
Vibrio_cholerae_O1_biovar_El_Tor_str_N16961,s__Vibrio_cholerae
Pseudomonas_marginalis,s__Pseudomonas_marginalis
Escherichia_coli_RS218,s__Escherichia_coli
Neisseria_bacilliformis,s__Neisseria_bacilliformis
Orientia_tsutsugamushi_str_Boryong,s__Orientia_tsutsugamushi
Aeromonas_salmonicida,s__Aeromonas_salmonicida
Brucella_melitensis_bv_1_str_16M,s__Brucella_melitensis
Shigella_flexneri_3a,s__Shigella_flexneri
Vibrio_mimicus,s__Vibrio_mimicus
Beggiatoa_alba,s__Beggiatoa_alba
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_SL1344,s__Salmonella_enterica
Moraxella_catarrhalis_O35E,s__Moraxella_catarrhalis
Helicobacter_pylori,s__Helicobacter_pylori
Campylobacter_jejuni,s__Campylobacter_jejuni
Shigella_flexneri,s__Shigella_flexneri
Pasteurella_multocida,s__Pasteurella_multocida
Campylobacter_jejuni_subsp_jejuni_NCTC_11168_ATCC_700819,s__Campylobacter_jejuni
Francisella_tularensis_subsp_tularensis_SCHU_S4,s__Francisella_tularensis
Escherichia_coli_O157_H7_str_EDL933,s__Escherichia_coli
Pseudomonas_putida,s__Pseudomonas_putida
Pectobacterium_carotovorum,s__Pectobacterium_carotovorum
Psychrobacter_sp_G,s__Psychrobacter_sp_G
Anaplasma_phagocytophilum,s__Anaplasma_phagocytophilum
Pseudomonas_chloritidismutans,s__Pseudomonas_chloritidismutans
Haemophilus_influenzae_3655,s__Haemophilus_influenzae
Pseudomonas_stutzeri,s__Pseudomonas_stutzeri
Ehrlichia_canis_str_Jake,s__Ehrlichia_canis
Frateuria_aurantia,s__Frateuria_aurantia
Acinetobacter_baumannii,s__Acinetobacter_baumannii
Proteus_mirabilis_HI4320,s__Proteus_mirabilis
Escherichia_coli_ETEC_H10407,s__Escherichia_coli
Yersinia_pestis,s__Yersinia_pestis
Vibrio_cholerae,s__Vibrio_cholerae
Wolbachia_pipientis,s__Wolbachia_pipientis
Pseudomonas_psychrophila,s__Pseudomonas_psychrophila
Haemophilus_influenzae_PittHH,s__Haemophilus_influenzae
Achromobacter_piechaudii,s__Achromobacter_piechaudii
Dickeya_chrysanthemi,s__Dickeya_chrysanthemi
Burkholderia_cenocepacia,s__Burkholderia_cenocepacia
Helicobacter_pylori_PZ5056,s__Helicobacter_pylori
Klebsiella_pneumoniae_subsp_pneumoniae_MGH_78578,s__Klebsiella_pneumoniae
Escherichia_coli,s__Escherichia_coli
Yersinia_enterocolitica,s__Yersinia_enterocolitica
Ehrlichia_canis,s__Ehrlichia_canis
Enterobacteriaceae,f__Enterobacteriaceae
Orientia_tsutsugamushi,s__Orientia_tsutsugamushi
Rickettsia_rickettsii_str_Sheila_Smith,s__Rickettsia_rickettsii
Acinetobacter_baumannii_ATCC_17978,s__Acinetobacter_baumannii
Anaplasma_marginale,s__Anaplasma_marginale
Helicobacter_pylori_F16,s__Helicobacter_pylori
Haemophilus_influenzae,s__Haemophilus_influenzae
Helicobacter_pylori_SouthAfrica50,s__Helicobacter_pylori
