id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Bordetella_pertussis,520,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella_pertussis
s__Campylobacter_fetus,32019,Bacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_fetus
s__Escherichia_coli,585034,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
s__Escherichia_coli,199310,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
s__Vibrio_vulnificus,672,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_vulnificus
s__Escherichia_coli,83333,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
s__Pseudomonas_aeruginosa,287,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa
s__Neisseria_gonorrhoeae,485,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_gonorrhoeae
s__Aeromonas_hydrophila,644,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas_hydrophila
s__Burkholderia_pseudomallei,272560,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_pseudomallei
s__Vibrio_metschnikovii,28172,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_metschnikovii
s__Anaplasma_phagocytophilum,212042,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma_phagocytophilum
s__Glaesserella_parasuis,738,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella,Glaesserella_parasuis
