"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"f__Enterobacteriaceae",543,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","","",TRUE,2,1,"(2 peptides)"
"s__Achromobacter_piechaudii",72556,"Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter_piechaudii",FALSE,1,1,"Achromobacter piechaudii(1 peptides)"
"s__Achromobacter_xylosoxidans",85698,"Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter_xylosoxidans",FALSE,1,1,"Achromobacter xylosoxidans(1 peptides)"
"s__Acidocella_sp_MX_AZ02",1214225,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","Acidocella_sp_MX_AZ02",FALSE,1,1,"Acidocella sp MX AZ02(1 peptides)"
"s__Acinetobacter_baumannii",470,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter_baumannii",FALSE,14,2,"Acinetobacter baumannii(14 peptides)"
"s__Aeromonas_hydrophila",644,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas_hydrophila",FALSE,9,1,"Aeromonas hydrophila(9 peptides)"
"s__Aeromonas_salmonicida",645,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas_salmonicida",FALSE,24,1,"Aeromonas salmonicida(24 peptides)"
"s__Anaplasma_marginale",320483,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma","Anaplasma_marginale",FALSE,10,2,"Anaplasma marginale(10 peptides)"
"s__Anaplasma_phagocytophilum",212042,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma","Anaplasma_phagocytophilum",FALSE,26,2,"Anaplasma phagocytophilum(26 peptides)"
"s__Beggiatoa_alba",1022,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Beggiatoa","Beggiatoa_alba",FALSE,1,1,"Beggiatoa alba(1 peptides)"
"s__Bordetella_pertussis",520,"Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella_pertussis",FALSE,95,1,"Bordetella pertussis(95 peptides)"
"s__Brucella_melitensis",29459,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella","Brucella_melitensis",FALSE,8,2,"Brucella melitensis(8 peptides)"
"s__Burkholderia_cenocepacia",95486,"Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_cenocepacia",FALSE,1,1,"Burkholderia cenocepacia(1 peptides)"
"s__Burkholderia_pseudomallei",272560,"Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_pseudomallei",FALSE,14,2,"Burkholderia pseudomallei(14 peptides)"
"s__Campylobacter_fetus",32019,"Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_fetus",FALSE,3,1,"Campylobacter fetus(3 peptides)"
"s__Campylobacter_jejuni",197,"Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_jejuni",FALSE,66,2,"Campylobacter jejuni(66 peptides)"
"s__Candidatus_Neoehrlichia_mikurensis",89586,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Candidatus_Neoehrlichia","Candidatus_Neoehrlichia_mikurensis",FALSE,1,1,"Candidatus Neoehrlichia mikurensis(1 peptides)"
"s__Coxiella_burnetii",777,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella","Coxiella_burnetii",FALSE,6,1,"Coxiella burnetii(6 peptides)"
"s__Cronobacter_turicensis",413502,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter_turicensis",TRUE,1,1,"Cronobacter turicensis(1 peptides)"
"s__Dickeya_chrysanthemi",556,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya_chrysanthemi",FALSE,1,1,"Dickeya chrysanthemi(1 peptides)"
"s__Ehrlichia_canis",269484,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Ehrlichia_canis",FALSE,2,2,"Ehrlichia canis(2 peptides)"
"s__Ehrlichia_chaffeensis",945,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Ehrlichia_chaffeensis",FALSE,17,2,"Ehrlichia chaffeensis(17 peptides)"
"s__Ehrlichia_ewingii",947,"Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Ehrlichia_ewingii",FALSE,1,1,"Ehrlichia ewingii(1 peptides)"
"s__Escherichia_coli",585034,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_coli",TRUE,116,7,"Escherichia coli(116 peptides)"
"s__Francisella_tularensis",376619,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella","Francisella_tularensis",FALSE,12,2,"Francisella tularensis(12 peptides)"
"s__Frateuria_aurantia",81475,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Frateuria","Frateuria_aurantia",FALSE,1,1,"Frateuria aurantia(1 peptides)"
"s__Glaesserella_parasuis",738,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Glaesserella","Glaesserella_parasuis",FALSE,3,2,"Glaesserella parasuis(3 peptides)"
"s__Haemophilus_influenzae",375177,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus_influenzae",FALSE,35,3,"Haemophilus influenzae(35 peptides)"
"s__Helicobacter_hepaticus",235279,"Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter_hepaticus",FALSE,3,1,"Helicobacter hepaticus(3 peptides)"
"s__Helicobacter_pylori",102617,"Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter_pylori",FALSE,91,7,"Helicobacter pylori(91 peptides)"
"s__Klebsiella_pneumoniae",573,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella_pneumoniae",TRUE,39,2,"Klebsiella pneumoniae(39 peptides)"
"s__Moraxella_catarrhalis",480,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella","Moraxella_catarrhalis",FALSE,18,2,"Moraxella catarrhalis(18 peptides)"
