taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
520,Bordetella_pertussis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Bordetella,s__Bordetella_pertussis
32019,Campylobacter_fetus_subsp_fetus,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter_fetus
585034,Escherichia_coli_IAI1,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
199310,Escherichia_coli_CFT073,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
672,Vibrio_vulnificus,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio_vulnificus
83333,Escherichia_coli_K_12,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
287,Pseudomonas_aeruginosa,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_aeruginosa
485,Neisseria_gonorrhoeae,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_gonorrhoeae
644,Aeromonas_hydrophila,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_hydrophila
272560,Burkholderia_pseudomallei_K96243,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__Burkholderia_pseudomallei
28172,Vibrio_metschnikovii,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio_metschnikovii
212042,Anaplasma_phagocytophilum_str_HZ,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Anaplasma,s__Anaplasma_phagocytophilum
738,Glaesserella_parasuis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Glaesserella,s__Glaesserella_parasuis
102617,Helicobacter_pylori_SS1,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_pylori
947,Ehrlichia_ewingii,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Ehrlichia,s__Ehrlichia_ewingii
214092,Yersinia_pestis_CO92,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Yersinia,s__Yersinia_pestis
1214225,Acidocella_sp_MX_AZ02,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acidocella,s__Acidocella_sp_MX_AZ02
376619,Francisella_tularensis_subsp_holarctica_LVS,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,s__Francisella_tularensis
573,Klebsiella_pneumoniae,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_pneumoniae
945,Ehrlichia_chaffeensis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Ehrlichia,s__Ehrlichia_chaffeensis
584,Proteus_mirabilis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Proteus,s__Proteus_mirabilis
611,Salmonella_enterica_subsp_enterica_serovar_Heidelberg,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Salmonella,s__Salmonella_enterica
28450,Burkholderia_pseudomallei,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__Burkholderia_pseudomallei
85962,Helicobacter_pylori_26695,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_pylori
992121,Helicobacter_pylori_Hp_M5,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_pylori
