taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
1133968,Babesia_microti_strain_RI,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Piroplasmida,f__Babesiidae,g__Babesia,s__Babesia_microti
29176,Neospora_caninum,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Neospora,s__Neospora_caninum
5861,Plasmodium_yoelii,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_yoelii
5834,Plasmodium_falciparum_RO_33,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
5825,Plasmodium_chabaudi,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_chabaudi
57270,Plasmodium_falciparum_Palo_Alto_Uganda,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
5865,Babesia_bovis,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Piroplasmida,f__Babesiidae,g__Babesia,s__Babesia_bovis
5827,Plasmodium_cynomolgi,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_cynomolgi
5839,Plasmodium_falciparum_K1,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
5858,Plasmodium_malariae,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_malariae
5855,Plasmodium_vivax,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_vivax
5824,Plasmodium_brasilianum,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_brasilianum
5821,Plasmodium_berghei,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_berghei
5807,Cryptosporidium_parvum,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Cryptosporidiidae,g__Cryptosporidium,s__Cryptosporidium_parvum
5874,Theileria_annulata,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Piroplasmida,f__Theileriidae,g__Theileria,s__Theileria_annulata
5843,Plasmodium_falciparum_NF54,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
5835,Plasmodium_falciparum_CAMP_Malaysia,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
36329,Plasmodium_falciparum_3D7,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
5866,Babesia_bigemina,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Piroplasmida,f__Babesiidae,g__Babesia,s__Babesia_bigemina
