Input Scientific Name,Leaf Node in Tree
Brassica_napus_phytoplasma,s__Brassica_napus_phytoplasma
Embleya_scabrispora,s__Embleya_scabrispora
Streptococcus_equi,s__Streptococcus_equi
Mycoplasma_hyopneumoniae_7448,s__Mycoplasma_hyopneumoniae
Staphylococcus_aureus_subsp_aureus_NCTC_8325,s__Staphylococcus_aureus
Streptococcus_pneumoniae,s__Streptococcus_pneumoniae
Clostridium_botulinum,s__Clostridium_botulinum
Streptococcus_mutans,s__Streptococcus_mutans
Rhodococcus_hoagii,s__Rhodococcus_hoagii
Trueperella_pyogenes,s__Trueperella_pyogenes
Rhodococcus_sp_AW25M09,s__Rhodococcus_sp_AW25M09
Mycoplasma_gallisepticum_S6,s__Mycoplasma_gallisepticum
Bacillus_amyloliquefaciens,s__Bacillus_amyloliquefaciens
Mycobacterium_avium_subsp_paratuberculosis_08_8281,s__Mycobacterium_avium
Clostridioides_difficile_R20291,s__Clostridioides_difficile
Streptococcus_sp_group_G,s__Streptococcus_sp_group_G
Mycoplasma_suis,s__Mycoplasma_suis
Bacillus_thuringiensis,s__Bacillus_thuringiensis
Streptococcus_oralis,s__Streptococcus_oralis
Mycoplasma_penetrans,s__Mycoplasma_penetrans
Streptococcus_agalactiae_515,s__Streptococcus_agalactiae
Bacillus_anthracis,s__Bacillus_anthracis
Staphylococcus_aureus_subsp_aureus_COL,s__Staphylococcus_aureus
Mycobacterium_intracellulare_ATCC_13950,s__Mycobacterium_intracellulare
Mycoplasma_hyopneumoniae_7422,s__Mycoplasma_hyopneumoniae
Thermobifida_fusca_YX,s__Thermobifida_fusca
Streptococcus_agalactiae,s__Streptococcus_agalactiae
Mycobacterium_kansasii,s__Mycobacterium_kansasii
Pediococcus_acidilactici,s__Pediococcus_acidilactici
Streptococcus_pneumoniae_R6,s__Streptococcus_pneumoniae
Mycobacterium_tuberculosis_variant_bovis_BCG_str_Tokyo_172,s__Mycobacterium_tuberculosis
Mycobacterium_tuberculosis_variant_bovis,s__Mycobacterium_tuberculosis
Bacillus_cereus,s__Bacillus_cereus
Corynebacterium_pseudotuberculosis,s__Corynebacterium_pseudotuberculosis
Staphylococcus_aureus,s__Staphylococcus_aureus
Staphylococcus_aureus_subsp_aureus_TCH60,s__Staphylococcus_aureus
Mycobacterium_tuberculosis_H37Rv,s__Mycobacterium_tuberculosis
Streptococcus_pyogenes_M1_GAS,s__Streptococcus_pyogenes
Synechococcus_lacustris,s__Synechococcus_lacustris
Streptococcus_uberis,s__Streptococcus_uberis
Limosilactobacillus_fermentum,s__Limosilactobacillus_fermentum
Paenibacillus_catalpae,s__Paenibacillus_catalpae
Listeria_monocytogenes,s__Listeria_monocytogenes
Mycoplasmopsis_agalactiae_PG2,s__Mycoplasmopsis_agalactiae
Streptococcus_dysgalactiae_subsp_equisimilis,s__Streptococcus_dysgalactiae
Nocardiopsis_baichengensis,s__Nocardiopsis_baichengensis
Deinococcus_radiodurans,s__Deinococcus_radiodurans
Streptococcus_pyogenes_serotype_M5,s__Streptococcus_pyogenes
Geobacillus_stearothermophilus,s__Geobacillus_stearothermophilus
Clostridium_tetani,s__Clostridium_tetani
Lactobacillus_johnsonii,s__Lactobacillus_johnsonii
Staphylococcus_aureus_subsp_aureus_MRSA252,s__Staphylococcus_aureus
Streptococcus_suis,s__Streptococcus_suis
Listeria_monocytogenes_EGD_e,s__Listeria_monocytogenes
Streptococcus_pyogenes,s__Streptococcus_pyogenes
Mycoplasma_hyorhinis,s__Mycoplasma_hyorhinis
Mycoplasma_hyopneumoniae_232,s__Mycoplasma_hyopneumoniae
Mycobacterium_tuberculosis_str_Erdman_ATCC_35801,s__Mycobacterium_tuberculosis
Mycobacterium_avium_subsp_paratuberculosis,s__Mycobacterium_avium
Mycoplasma_pneumoniae_M129,s__Mycoplasma_pneumoniae
Staphylococcus_aureus_subsp_aureus_USA300_TCH1516,s__Staphylococcus_aureus
Staphylococcus_aureus_subsp_aureus_str_Newman,s__Staphylococcus_aureus
Lactobacillus_delbrueckii_subsp_bulgaricus,s__Lactobacillus_delbrueckii
Cutibacterium_acnes_subsp_defendens_ATCC_11828,s__Cutibacterium_acnes
Streptococcus_dysgalactiae,s__Streptococcus_dysgalactiae
Staphylococcus_warneri,s__Staphylococcus_warneri
Mycobacterium_avium_subsp_paratuberculosis_K_10,s__Mycobacterium_avium
Paenarthrobacter_nicotinovorans,s__Paenarthrobacter_nicotinovorans
Streptococcus_sobrinus,s__Streptococcus_sobrinus
Clostridium_botulinum_A_str_Hall,s__Clostridium_botulinum
Clostridioides_difficile,s__Clostridioides_difficile
Ruminiclostridium_cellobioparum,s__Ruminiclostridium_cellobioparum
Staphylococcus_aureus_subsp_aureus_MN8,s__Staphylococcus_aureus
Staphylococcus_aureus_USA300_ISMMS1,s__Staphylococcus_aureus
Mycobacterium_gordonae,s__Mycobacterium_gordonae
Mycobacterium_leprae,s__Mycobacterium_leprae
Mycobacterium_tuberculosis,s__Mycobacterium_tuberculosis
Clostridium_perfringens_D,s__Clostridium_perfringens
Staphylococcus_aureus_subsp_aureus_CN1,s__Staphylococcus_aureus
Mycoplasmopsis_bovis,s__Mycoplasmopsis_bovis
Mycobacterium_tuberculosis_variant_bovis_BCG_str_Pasteur_1173P2,s__Mycobacterium_tuberculosis
Micrococcus_luteus,s__Micrococcus_luteus
Streptococcus_downei,s__Streptococcus_downei
Clostridium_perfringens,s__Clostridium_perfringens
Staphylococcus_aureus_A9635,s__Staphylococcus_aureus
Coprococcus_comes,s__Coprococcus_comes
Bacillus_thuringiensis_serovar_kurstaki,s__Bacillus_thuringiensis
Mycoplasma_genitalium_G37,s__Mycoplasma_genitalium
Mycoplasma_pneumoniae_FH,s__Mycoplasma_pneumoniae
Mycobacterium_scrofulaceum,s__Mycobacterium_scrofulaceum
Streptococcus_agalactiae_2603V_R,s__Streptococcus_agalactiae
Streptomyces_californicus,s__Streptomyces_californicus
Corynebacterium_diphtheriae,s__Corynebacterium_diphtheriae
Mycobacterium_avium,s__Mycobacterium_avium
