taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
469009,Brassica_napus_phytoplasma,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Candidatus_Phytoplasma,s__Brassica_napus_phytoplasma
159449,Embleya_scabrispora,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Embleya,s__Embleya_scabrispora
1336,Streptococcus_equi,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_equi
262722,Mycoplasma_hyopneumoniae_7448,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_hyopneumoniae
93061,Staphylococcus_aureus_subsp_aureus_NCTC_8325,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
1313,Streptococcus_pneumoniae,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pneumoniae
1491,Clostridium_botulinum,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_botulinum
1309,Streptococcus_mutans,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_mutans
43767,Rhodococcus_hoagii,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus_hoagii
1661,Trueperella_pyogenes,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Trueperella,s__Trueperella_pyogenes
1268303,Rhodococcus_sp_AW25M09,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus_sp_AW25M09
1006581,Mycoplasma_gallisepticum_S6,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_gallisepticum
1390,Bacillus_amyloliquefaciens,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_amyloliquefaciens
