id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Brassica_napus_phytoplasma,469009,Bacteria,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Brassica_napus_phytoplasma
s__Embleya_scabrispora,159449,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Embleya,Embleya_scabrispora
s__Streptococcus_equi,1336,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_equi
s__Mycoplasma_hyopneumoniae,262722,Bacteria,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_hyopneumoniae
s__Staphylococcus_aureus,93061,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus
s__Streptococcus_pneumoniae,1313,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pneumoniae
s__Clostridium_botulinum,1491,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_botulinum
s__Streptococcus_mutans,1309,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mutans
s__Rhodococcus_hoagii,43767,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_hoagii
s__Trueperella_pyogenes,1661,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella_pyogenes
s__Rhodococcus_sp_AW25M09,1268303,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_sp_AW25M09
s__Mycoplasma_gallisepticum,1006581,Bacteria,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_gallisepticum
s__Bacillus_amyloliquefaciens,1390,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_amyloliquefaciens
s__Mycobacterium_avium,1391998,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_avium
s__Clostridioides_difficile,645463,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides_difficile
s__Streptococcus_sp_group_G,1320,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp_group_G
