"ScientificName";"Rank";"UID";"nPos";"nNeg";"nTot";"IDs"
"Eukaryota";"superkingdom";"2759";7669;11974;19643;"73239,9606,5759,3988,10090,7227,5833,5679,420245,435258,5671,5693,5664,5667,347515,44271,5661,10116,10141,9823,85057,185431,6661,10092,9755,294381,4606,33127,7460,28909,36936,3505,9913,3847,3656,4565,4550,3750,3760,3369,3818,6956,7155,4215,3885,6954,4146,6182,40697,63673,15957,7441,4522,6282,29679,3981,9685,4545,36329,6279,8658,9031,99586,88087,13101,171929,6248,6978,5599,3677,4232,3567,330879,746128,7154,8053,4212,6183,7453,7444,121759,5551,981087,5855,3816,34610,34631,60189,44386,6941,129788,215358,3559,8732,5865,5811,6334,6211,13451,29176,6198,3346,559292,85552,5659,508771,507601,432359,106276,51031,51022,6269,36087,29170,62330,5861,123734,6192,3617,6210,6206,7787,5722,6203,46835,6207,5802,6204,9615,558553,5823,9940,NA,29159,32201,39947,3702,7004,7955,9541,7719,6239,10224,246437,79327,30522,7741,6238,4577,660469,99806,7959,1317064,4784,7957,3625,4182,43335,3055,6313,5866,10029,74437,5868,5064,3707,5076,3972,502780,3645,6887,4754,6878,5874,367110,44689,360549,1004253,70175,9986,6491,6492,6493,6495,6858,3562,4932,10095,9337,8005,9548,6184,8654,7137,8616,9483,8656,9796,8722,5872,8657,333668,8655,9103,8671,8663,8704,8667,157914,3758,36596,5842,10036,263815,8753,88086,1108849,6690,16719,3352,5755,9598,4113,6973,4081,4097,214697,29780,3708,7454,55194,4045,29760,76912,69008,39584,49011,13415,30215,5503,32644,51240,7788,38020,6860,58218,5501,3864,8022,8255,334426,114742,6293,6945,7160,32630,5665,3755,6687,8030,34632,341663,74722,5077,6339,147272,6689,9860,8049,8726,5807,58217,58216,37546,35670,180454,9925,89462,9544,46245,7234,5762,15368,5741,353152,306901,54390,6938,265619,935652,580058,580059,4530,5846,5835,5851,126793,5848,5834,57270,5837,8364,8725,6853,180498,95602,943119,64495,6728,121224,32278,79923,7962,5841,5843,5839,31273,5824,27990,5821,5825,5850,9874,88085,4513,1133968,320667,72664,81985,3711,8620,6761,8724,929439,79698,92050,307685,13677,1237627,57267,5858,5827,1055687,1077284,1033975"
"Sar";"clade";"2698737";1186;357;1543;"73239,5833,36329,5855,5865,5811,29176,508771,432359,5861,5802,5823,4784,5866,5868,5874,5872,333668,5842,114742,5807,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,1133968,5858,5827"
"Alveolata";"clade";"33630";1184;357;1541;"73239,5833,36329,5855,5865,5811,29176,508771,432359,5861,5802,5823,5866,5868,5874,5872,333668,5842,5807,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,1133968,5858,5827"
"Apicomplexa";"phylum";"5794";1184;357;1541;"73239,5833,36329,5855,5865,5811,29176,508771,432359,5861,5802,5823,5866,5868,5874,5872,333668,5842,5807,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,1133968,5858,5827"
"Aconoidasida";"class";"422676";1090;296;1386;"73239,5833,36329,5855,5865,5861,5823,5866,5868,5874,5872,333668,5842,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,1133968,5858,5827"
"Haemosporida";"order";"5819";1053;282;1335;"73239,5833,36329,5855,5861,5823,5842,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,5858,5827"
"Plasmodiidae";"family";"1639119";1053;282;1335;"73239,5833,36329,5855,5861,5823,5842,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,5858,5827"
"Plasmodium";"genus";"5820";1053;282;1335;"73239,5833,36329,5855,5861,5823,5842,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,5858,5827"
"Plasmodium (Laverania)";"subgenus";"418107";921;206;1127;"5833,36329,5842,5846,5835,5848,5834,57270,5837,5841,5843,5839"
"P. falciparum";"organism";"5833";921;206;1127;"5833,36329,5842,5846,5835,5848,5834,57270,5837,5841,5843,5839"
