"ScientificName";"Rank";"UID";"nPos";"nNeg";"nTot";"IDs"
"Eukaryota";"superkingdom";"2759";7669;11974;19643;"73239,9606,5759,3988,10090,7227,5833,5679,420245,435258,5671,5693,5664,5667,347515,44271,5661,10116,10141,9823,85057,185431,6661,10092,9755,294381,4606,33127,7460,28909,36936,3505,9913,3847,3656,4565,4550,3750,3760,3369,3818,6956,7155,4215,3885,6954,4146,6182,40697,63673,15957,7441,4522,6282,29679,3981,9685,4545,36329,6279,8658,9031,99586,88087,13101,171929,6248,6978,5599,3677,4232,3567,330879,746128,7154,8053,4212,6183,7453,7444,121759,5551,981087,5855,3816,34610,34631,60189,44386,6941,129788,215358,3559,8732,5865,5811,6334,6211,13451,29176,6198,3346,559292,85552,5659,508771,507601,432359,106276,51031,51022,6269,36087,29170,62330,5861,123734,6192,3617,6210,6206,7787,5722,6203,46835,6207,5802,6204,9615,558553,5823,9940,NA,29159,32201,39947,3702,7004,7955,9541,7719,6239,10224,246437,79327,30522,7741,6238,4577,660469,99806,7959,1317064,4784,7957,3625,4182,43335,3055,6313,5866,10029,74437,5868,5064,3707,5076,3972,502780,3645,6887,4754,6878,5874,367110,44689,360549,1004253,70175,9986,6491,6492,6493,6495,6858,3562,4932,10095,9337,8005,9548,6184,8654,7137,8616,9483,8656,9796,8722,5872,8657,333668,8655,9103,8671,8663,8704,8667,157914,3758,36596,5842,10036,263815,8753,88086,1108849,6690,16719,3352,5755,9598,4113,6973,4081,4097,214697,29780,3708,7454,55194,4045,29760,76912,69008,39584,49011,13415,30215,5503,32644,51240,7788,38020,6860,58218,5501,3864,8022,8255,334426,114742,6293,6945,7160,32630,5665,3755,6687,8030,34632,341663,74722,5077,6339,147272,6689,9860,8049,8726,5807,58217,58216,37546,35670,180454,9925,89462,9544,46245,7234,5762,15368,5741,353152,306901,54390,6938,265619,935652,580058,580059,4530,5846,5835,5851,126793,5848,5834,57270,5837,8364,8725,6853,180498,95602,943119,64495,6728,121224,32278,79923,7962,5841,5843,5839,31273,5824,27990,5821,5825,5850,9874,88085,4513,1133968,320667,72664,81985,3711,8620,6761,8724,929439,79698,92050,307685,13677,1237627,57267,5858,5827,1055687,1077284,1033975"
"Opisthokonta";"clade";"33154";5266;9858;15124;"9606,10090,7227,10116,10141,9823,6661,9755,7460,36936,9913,6956,7155,6954,6182,40697,63673,7441,6282,9685,6279,8658,9031,99586,88087,6248,6978,5599,746128,7154,8053,6183,7453,7444,121759,5551,34610,34631,60189,44386,6941,129788,215358,8732,6334,6211,6198,85552,106276,51031,51022,6269,36087,29170,123734,6192,6210,6206,7787,6203,46835,6207,6204,9615,558553,9940,29159,7004,7955,9541,7719,6239,10224,246437,79327,30522,7741,6238,660469,7959,7957,6313,10029,74437,5064,5076,502780,6887,4754,6878,360549,1004253,70175,9986,6491,6492,6493,6495,6858,4932,9337,8005,9548,6184,8654,7137,8616,9483,8656,9796,8722,8657,8655,9103,8671,8663,8704,8667,10036,263815,8753,88086,6690,9598,6973,7454,55194,30215,5503,7788,38020,6860,58218,5501,8022,8255,334426,6293,6945,7160,6687,8030,34632,341663,74722,5077,6339,6689,9860,8049,8726,58217,58216,37546,35670,180454,9925,89462,9544,46245,7234,54390,6938,265619,8364,8725,6853,95602,64495,6728,121224,32278,79923,7962,9874,88085,8620,6761,8724,79698,92050,307685,13677"
"Metazoa";"kingdom";"33208";5225;9832;15057;"9606,10090,7227,10116,10141,9823,6661,9755,7460,36936,9913,6956,7155,6954,6182,40697,63673,7441,6282,9685,6279,8658,9031,99586,88087,6248,6978,7154,8053,6183,7453,7444,34610,34631,60189,44386,6941,129788,215358,8732,6334,6211,6198,85552,106276,51031,51022,6269,36087,29170,123734,6192,6210,6206,7787,6203,46835,6207,6204,9615,558553,9940,29159,7004,7955,9541,7719,6239,10224,246437,79327,30522,7741,6238,7959,7957,6313,10029,74437,6887,6878,360549,70175,9986,6491,6492,6493,6495,6858,9337,8005,9548,6184,8654,7137,8616,9483,8656,9796,8722,8657,8655,9103,8671,8663,8704,8667,10036,8753,88086,6690,9598,6973,7454,30215,7788,38020,6860,58218,8022,8255,334426,6293,6945,7160,6687,8030,34632,6339,6689,9860,8049,8726,58217,58216,37546,35670,180454,9925,89462,9544,46245,7234,54390,6938,265619,8364,8725,6853,95602,6728,121224,32278,79923,7962,9874,88085,8620,6761,8724,79698,92050,307685,13677"
"Eumetazoa";"clade";"6072";5225;9832;15057;"9606,10090,7227,10116,10141,9823,6661,9755,7460,36936,9913,6956,7155,6954,6182,40697,63673,7441,6282,9685,6279,8658,9031,99586,88087,6248,6978,7154,8053,6183,7453,7444,34610,34631,60189,44386,6941,129788,215358,8732,6334,6211,6198,85552,106276,51031,51022,6269,36087,29170,123734,6192,6210,6206,7787,6203,46835,6207,6204,9615,558553,9940,29159,7004,7955,9541,7719,6239,10224,246437,79327,30522,7741,6238,7959,7957,6313,10029,74437,6887,6878,360549,70175,9986,6491,6492,6493,6495,6858,9337,8005,9548,6184,8654,7137,8616,9483,8656,9796,8722,8657,8655,9103,8671,8663,8704,8667,10036,8753,88086,6690,9598,6973,7454,30215,7788,38020,6860,58218,8022,8255,334426,6293,6945,7160,6687,8030,34632,6339,6689,9860,8049,8726,58217,58216,37546,35670,180454,9925,89462,9544,46245,7234,54390,6938,265619,8364,8725,6853,95602,6728,121224,32278,79923,7962,9874,88085,8620,6761,8724,79698,92050,307685,13677"
"Bilateria";"clade";"33213";5225;9832;15057;"9606,10090,7227,10116,10141,9823,6661,9755,7460,36936,9913,6956,7155,6954,6182,40697,63673,7441,6282,9685,6279,8658,9031,99586,88087,6248,6978,7154,8053,6183,7453,7444,34610,34631,60189,44386,6941,129788,215358,8732,6334,6211,6198,85552,106276,51031,51022,6269,36087,29170,123734,6192,6210,6206,7787,6203,46835,6207,6204,9615,558553,9940,29159,7004,7955,9541,7719,6239,10224,246437,79327,30522,7741,6238,7959,7957,6313,10029,74437,6887,6878,360549,70175,9986,6491,6492,6493,6495,6858,9337,8005,9548,6184,8654,7137,8616,9483,8656,9796,8722,8657,8655,9103,8671,8663,8704,8667,10036,8753,88086,6690,9598,6973,7454,30215,7788,38020,6860,58218,8022,8255,334426,6293,6945,7160,6687,8030,34632,6339,6689,9860,8049,8726,58217,58216,37546,35670,180454,9925,89462,9544,46245,7234,54390,6938,265619,8364,8725,6853,95602,6728,121224,32278,79923,7962,9874,88085,8620,6761,8724,79698,92050,307685,13677"
"Protostomia";"clade";"33317";722;837;1559;"7227,6661,7460,36936,6956,7155,6954,6182,40697,63673,7441,6282,6279,6248,6978,7154,6183,7453,7444,34610,34631,60189,44386,6941,129788,6334,6211,6198,85552,106276,51031,51022,6269,36087,29170,123734,6192,6210,6206,6203,46835,6207,6204,558553,29159,7004,6239,79327,6238,6313,74437,6887,6878,360549,70175,6491,6492,6493,6495,6858,6184,7137,6690,6973,7454,30215,6860,58218,334426,6293,6945,7160,6687,34632,6339,6689,58217,58216,37546,180454,46245,7234,6938,265619,6853,95602,6728,121224,32278,79923,6761"
"Spiralia";"clade";"2697495";353;414;767;"6182,63673,6183,129788,6211,6198,106276,6192,6210,6206,6203,46835,6207,6204,558553,29159,79327,74437,360549,6491,6492,6493,6495,6184,79923"
"Lophotrochozoa";"clade";"1206795";353;414;767;"6182,63673,6183,129788,6211,6198,106276,6192,6210,6206,6203,46835,6207,6204,558553,29159,79327,74437,360549,6491,6492,6493,6495,6184,79923"
"Platyhelminthes";"phylum";"6157";305;390;695;"6182,6183,6211,6198,6192,6210,6206,6203,46835,6207,6204,79327,6184,79923"
"Trematoda";"class";"6178";260;367;627;"6182,6183,6198,6192,46835,6184,79923"
"Digenea";"subclass";"6179";260;367;627;"6182,6183,6198,6192,46835,6184,79923"
"Strigeidida";"order";"6180";214;323;537;"6182,6183,6184"
"Schistosomatoidea";"superfamily";"31244";214;323;537;"6182,6183,6184"
"Schistosomatidae";"family";"31245";214;323;537;"6182,6183,6184"
"Schistosoma";"genus";"6181";214;323;537;"6182,6183,6184"
"S. mansoni";"organism";"6183";173;243;416;"6183"
