Method	Dataset	Metric	Value	Set
Bepipred 3.0	C. difficile	AUC	0.575009192302978	Holdout
Bepipred 3.0	C. difficile	F1	0	Holdout
Bepipred 3.0	C. difficile	MCC	-0.0266236610177439	Holdout
Bepipred 3.0	C. difficile	PPV	0	Holdout
Bepipred 3.0	C. difficile	NPV	0.905963302752294	Holdout
Bepipred 3.0	C. difficile	Sensitivity	0	Holdout
Bepipred 3.0	C. difficile	Specificity	0.992462311557789	Holdout
Bepipred 3.0	C. difficile	Balanced accuracy	0.496231155778894	Holdout
Bepipred 3.0	C. difficile	Accuracy	0.899772209567198	Holdout
Bepipred 3.0	C. trachomatis	AUC	0.559080070281124	Holdout
Bepipred 3.0	C. trachomatis	F1	0.583201267828843	Holdout
Bepipred 3.0	C. trachomatis	MCC	-0.0552514589434009	Holdout
Bepipred 3.0	C. trachomatis	PPV	0.490666666666667	Holdout
Bepipred 3.0	C. trachomatis	NPV	0.446153846153846	Holdout
Bepipred 3.0	C. trachomatis	Sensitivity	0.71875	Holdout
Bepipred 3.0	C. trachomatis	Specificity	0.232931726907631	Holdout
Bepipred 3.0	C. trachomatis	Balanced accuracy	0.475840863453815	Holdout
Bepipred 3.0	C. trachomatis	Accuracy	0.479207920792079	Holdout
Bepipred 3.0	Filoviridae	AUC	0.462385506465517	Holdout
Bepipred 3.0	Filoviridae	F1	0.235294117647059	Holdout
Bepipred 3.0	Filoviridae	MCC	0.142653130620099	Holdout
Bepipred 3.0	Filoviridae	PPV	0.138138138138138	Holdout
Bepipred 3.0	Filoviridae	NPV	0.949367088607595	Holdout
Bepipred 3.0	Filoviridae	Sensitivity	0.793103448275862	Holdout
Bepipred 3.0	Filoviridae	Specificity	0.439453125	Holdout
Bepipred 3.0	Filoviridae	Balanced accuracy	0.616278286637931	Holdout
Bepipred 3.0	Filoviridae	Accuracy	0.475438596491228	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	AUC	0.602299452609093	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	F1	0.273105745212323	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	MCC	-0.180414348779791	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	PPV	0.326043737574553	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	NPV	0.482558139534884	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	Sensitivity	0.234957020057307	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	Specificity	0.594982078853047	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	Balanced accuracy	0.414969549455177	Holdout
Bepipred 3.0	Human Gammaherpesvirus 4	Accuracy	0.431270358306189	Holdout
Bepipred 3.0	Influenza A	AUC	0.570495413528923	Holdout
Bepipred 3.0	Influenza A	F1	0.5389369592089	Holdout
Bepipred 3.0	Influenza A	MCC	0.239002798376319	Holdout
Bepipred 3.0	Influenza A	PPV	0.900826446280992	Holdout
Bepipred 3.0	Influenza A	NPV	0.321011673151751	Holdout
Bepipred 3.0	Influenza A	Sensitivity	0.384479717813051	Holdout
Bepipred 3.0	Influenza A	Specificity	0.873015873015873	Holdout
Bepipred 3.0	Influenza A	Balanced accuracy	0.628747795414462	Holdout
Bepipred 3.0	Influenza A	Accuracy	0.506613756613757	Holdout
Bepipred 3.0	Measles morbilivirus	AUC	0.618811274509804	Holdout
Bepipred 3.0	Measles morbilivirus	F1	0.281345565749235	Holdout
Bepipred 3.0	Measles morbilivirus	MCC	-0.309702962429536	Holdout
Bepipred 3.0	Measles morbilivirus	PPV	0.292993630573248	Holdout
Bepipred 3.0	Measles morbilivirus	NPV	0.395121951219512	Holdout
Bepipred 3.0	Measles morbilivirus	Sensitivity	0.270588235294118	Holdout
Bepipred 3.0	Measles morbilivirus	Specificity	0.421875	Holdout
Bepipred 3.0	Measles morbilivirus	Balanced accuracy	0.346231617647059	Holdout
Bepipred 3.0	Measles morbilivirus	Accuracy	0.350828729281768	Holdout
Bepipred 3.0	Mononegavirales	AUC	0.554363323043354	Holdout
Bepipred 3.0	Mononegavirales	F1	0.27134724857685	Holdout
Bepipred 3.0	Mononegavirales	MCC	-0.136016391792331	Holdout
Bepipred 3.0	Mononegavirales	PPV	0.258589511754069	Holdout
Bepipred 3.0	Mononegavirales	NPV	0.608315098468271	Holdout
Bepipred 3.0	Mononegavirales	Sensitivity	0.285429141716567	Holdout
Bepipred 3.0	Mononegavirales	Specificity	0.575569358178054	Holdout
Bepipred 3.0	Mononegavirales	Balanced accuracy	0.43049924994731	Holdout
Bepipred 3.0	Mononegavirales	Accuracy	0.476482617586912	Holdout
Bepipred 3.0	O. volvulus	AUC	0.721277443783838	Holdout
Bepipred 3.0	O. volvulus	F1	0.364220674879486	Holdout
Bepipred 3.0	O. volvulus	MCC	0.277448376415638	Holdout
Bepipred 3.0	O. volvulus	PPV	0.225165562913907	Holdout
Bepipred 3.0	O. volvulus	NPV	0.980482204362801	Holdout
Bepipred 3.0	O. volvulus	Sensitivity	0.952380952380952	Holdout
Bepipred 3.0	O. volvulus	Specificity	0.421936758893281	Holdout
Bepipred 3.0	O. volvulus	Balanced accuracy	0.687158855637116	Holdout
